replies_count,participants_count,likes,comments,shares,website_type,friends,followes,safety_r,reputation,trustworthiness,child_safety,date,domain_rank
0,1,2,0,2,2,0,0,2,4,81,76,817,12993
0,0,0,0,0,2,0,0,1,0,0,0,803,0
0,1,7,0,7,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,353664,342787,1,4,80,93,792,43327
0,0,0,0,0,2,0,0,0,1.2,24,28,814,0
0,1,0,0,0,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,353664,342787,1,4,80,93,806,43327
0,0,0,0,0,2,596749,561904,2,3.1,63,68,819,0
0,1,0,0,0,2,0,0,1,4.6,92,90,813,51784
0,0,0,0,0,8,942660,944956,2,4.6,92,92,803,38347
0,0,0,0,0,1,393286,241968,2,4.5,90,90,820,5772
0,0,0,0,0,2,0,0,0,1.2,24,28,820,0
1,2,9,0,9,2,0,0,2,3.9,77,99,820,6659
0,1,0,0,0,2,0,0,2,4.5,89,87,814,82758
0,0,0,0,0,4,0,0,1,0,0,0,809,0
0,0,0,0,0,2,0,0,1,0,0,0,790,0
0,1,0,0,0,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,0,0,1,0,0,0,812,0
0,1,1,0,1,2,0,0,2,3.9,77,99,820,6659
0,1,0,0,0,2,416437,418488,1,2.5,50,46,818,68691
0,0,0,0,0,2,247478,141344,2,4,81,85,818,14170
0,1,2,0,2,2,0,0,2,3.9,77,99,820,6659
0,1,0,0,0,2,0,0,2,4.5,89,87,801,82758
0,1,0,0,0,2,0,0,1,0,0,0,809,0
0,1,0,0,0,2,0,0,2,4.5,89,87,807,82758
0,0,357,0,357,2,569990,975522,2,4.7,94,82,815,2182
0,0,0,0,0,2,625017,615966,1,0,0,0,793,0
0,0,0,0,0,2,0,0,1,2.5,50,11,801,0
0,1,0,0,0,2,0,0,2,4.5,89,87,804,82758
0,0,0,0,0,2,0,0,1,0,0,0,817,0
0,1,0,0,0,2,0,0,1,4.6,92,90,797,51784
0,1,0,0,0,2,0,0,1,0,0,0,805,0
0,1,0,0,0,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,0,0,1,0,0,0,813,0
0,1,0,0,0,2,127093,128617,2,4.3,87,87,814,23950
0,1,0,0,0,2,127093,128617,2,4.3,87,87,814,23950
0,0,0,0,0,2,0,0,1,0,0,0,808,0
0,0,0,0,0,2,0,0,1,3.1,63,77,814,0
0,0,0,0,0,2,353664,342787,1,4,80,93,815,43327
0,0,0,0,0,1,0,0,1,3,60,54,805,25689
0,1,0,0,0,2,0,0,2,4.5,89,87,818,82758
0,1,0,0,0,2,0,0,2,4.5,89,87,799,82758
0,0,0,0,0,2,0,0,1,2.5,50,28,807,0
0,0,0,0,0,2,0,0,1,0,0,0,810,0
0,0,0,0,0,2,353664,342787,1,4,80,93,812,43327
0,0,0,0,0,2,625017,615966,1,0,0,0,816,0
0,1,0,0,0,2,0,0,2,4,81,76,817,12993
0,1,0,0,0,2,0,0,1,4.6,92,90,815,51784
0,0,0,0,0,2,0,0,1,2.5,50,29,804,0
0,0,0,0,0,2,596749,561904,2,3.1,63,68,819,0
0,0,0,0,0,2,0,0,1,4.3,87,0,814,0
0,1,0,0,0,2,0,0,2,4,81,76,819,12993
0,1,0,0,0,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,372227,304568,1,3.3,65,84,793,7587
0,0,0,0,0,2,0,0,1,0,0,0,808,0
0,0,0,0,0,6,0,0,1,2.3,45,41,817,11584
0,0,0,0,0,3,34089,34114,1,3.9,78,82,809,0
0,0,0,0,0,2,596749,561904,2,3.1,63,68,819,0
0,0,0,0,0,2,0,0,1,0,0,0,804,3921
0,0,0,0,0,2,0,0,1,0,0,0,808,0
0,0,0,0,0,2,108241,107041,1,2.1,42,58,794,0
0,1,0,0,0,2,0,0,1,0,0,0,792,0
0,0,0,0,0,2,21812,22454,1,3,60,0,803,0
0,0,0,0,0,3,34089,34114,1,3.9,78,82,805,0
0,0,0,0,0,2,0,0,1,0,0,0,816,30230
0,0,0,0,0,2,0,0,1,2.5,50,28,812,0
0,0,0,0,0,2,596749,561904,2,3.1,63,68,818,0
0,0,0,0,0,2,0,0,1,1.8,35,41,815,0
0,0,0,0,0,2,353664,342787,1,4,80,93,814,43327
0,0,0,0,0,2,0,0,1,0,0,0,808,3921
0,0,0,0,0,1,894063,903261,2,3.6,72,85,813,15846
0,0,0,0,0,2,0,0,1,0,0,0,798,0
0,1,0,0,0,2,0,0,1,0,0,0,816,0
0,0,0,0,0,2,0,0,1,0,0,0,807,0
0,0,0,0,0,2,18888,18517,1,3,61,68,814,0
0,1,0,0,0,2,0,0,2,4,81,76,817,12993
0,0,0,0,0,2,247478,141344,2,4,81,85,816,14170
0,0,0,0,0,2,353664,342787,1,4,80,93,806,43327
0,0,0,0,0,2,353664,342787,1,4,80,93,796,43327
0,1,0,0,0,2,0,0,1,0,0,0,803,0
0,0,0,0,0,2,0,0,1,2.5,50,11,807,0
0,0,0,0,0,2,353664,342787,1,4,80,93,794,43327
0,0,0,0,0,1,894063,903261,2,3.6,72,85,815,15846
0,0,0,0,0,2,0,0,1,3,60,62,809,0
0,1,0,0,0,2,0,0,2,4.5,89,87,814,82758
0,0,0,0,0,2,569990,975522,2,4.7,94,82,818,2182
0,1,0,0,0,2,0,0,2,4.5,89,87,818,82758
0,0,0,0,0,2,0,0,1,0,0,0,811,0
0,0,0,0,0,2,0,0,1,2.5,50,29,812,0
0,1,0,0,0,2,0,0,2,3.9,77,99,820,6659
0,0,0,0,0,2,0,0,1,0,0,0,820,0
0,1,0,0,0,2,0,0,2,4.5,89,87,819,82758
0,0,0,0,0,2,0,0,1,3.6,72,93,817,0
0,1,0,0,0,2,416437,418488,1,2.5,50,46,819,68691
0,0,0,0,0,2,0,0,1,0,0,0,798,0
0,0,0,0,0,2,0,0,1,0,0,0,812,0
0,1,0,0,0,2,0,0,2,4.5,89,87,806,82758
0,1,0,0,0,3,714,782,2,4.3,86,84,820,41475
0,0,0,0,0,2,596749,561904,2,3.1,63,68,818,0
0,0,0,0,0,2,44978,43166,2,4,81,84,808,93150
0,0,0,0,0,2,569990,975522,2,4.7,94,82,805,2182
0,0,0,0,0,2,0,0,1,4.3,87,0,815,0
0,0,0,0,0,5,37715,36421,2,4.3,86,88,811,34811
0,0,0,0,0,2,17913,17979,2,3.5,69,70,800,79662
0,1,0,0,0,2,0,0,2,4.5,89,87,804,82758
