replies_count,participants_count,likes,comments,shares,friends,followes,domain_rank
0,1,2,0,2,0,0,12993
0,0,0,0,0,0,0,0
0,1,7,0,7,0,0,6659
0,0,0,0,0,353664,342787,43327
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,6659
0,0,0,0,0,353664,342787,43327
0,0,0,0,0,596749,561904,0
0,1,0,0,0,0,0,51784
0,0,0,0,0,942660,944956,38347
0,0,0,0,0,393286,241968,5772
0,0,0,0,0,0,0,0
1,2,9,0,9,0,0,6659
0,1,0,0,0,0,0,82758
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,6659
0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,6659
0,1,0,0,0,416437,418488,68691
0,0,0,0,0,247478,141344,14170
0,1,2,0,2,0,0,6659
0,1,0,0,0,0,0,82758
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,82758
0,0,357,0,357,569990,975522,2182
0,0,0,0,0,625017,615966,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,82758
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,51784
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,6659
0,0,0,0,0,0,0,0
0,1,0,0,0,127093,128617,23950
0,1,0,0,0,127093,128617,23950
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,353664,342787,43327
0,0,0,0,0,0,0,25689
0,1,0,0,0,0,0,82758
0,1,0,0,0,0,0,82758
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,353664,342787,43327
0,0,0,0,0,625017,615966,0
0,1,0,0,0,0,0,12993
0,1,0,0,0,0,0,51784
0,0,0,0,0,0,0,0
0,0,0,0,0,596749,561904,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,12993
0,1,0,0,0,0,0,6659
0,0,0,0,0,372227,304568,7587
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,11584
0,0,0,0,0,34089,34114,0
0,0,0,0,0,596749,561904,0
0,0,0,0,0,0,0,3921
0,0,0,0,0,0,0,0
