friends,followes,readability
0,0,2
0,0,0
0,0,0
353664,342787,0
0,0,4
0,0,0
353664,342787,0
596749,561904,1
0,0,5
942660,944956,0
393286,241968,0
0,0,0
0,0,4
0,0,4
0,0,3
0,0,0
0,0,0
0,0,2
0,0,2
416437,418488,1
247478,141344,1
0,0,4
0,0,2
0,0,0
0,0,5
569990,975522,0
625017,615966,0
0,0,0
0,0,4
0,0,1
0,0,2
0,0,0
0,0,0
0,0,5
127093,128617,2
127093,128617,4
0,0,2
0,0,3
353664,342787,0
0,0,3
0,0,2
0,0,0
0,0,0
0,0,3
353664,342787,0
625017,615966,2
0,0,2
0,0,0
0,0,4
596749,561904,0
0,0,2
0,0,2
0,0,2
372227,304568,1
0,0,1
0,0,4
34089,34114,0
596749,561904,0
0,0,1
0,0,0
108241,107041,0
0,0,3
21812,22454,0
34089,34114,0
0,0,3
0,0,3
596749,561904,0
0,0,0
353664,342787,0
0,0,3
894063,903261,2
0,0,0
0,0,3
0,0,1
18888,18517,0
0,0,1
247478,141344,0
353664,342787,0
353664,342787,1
0,0,0
0,0,3
353664,342787,1
894063,903261,3
0,0,1
0,0,3
569990,975522,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,3
0,0,4
0,0,0
416437,418488,2
0,0,0
0,0,4
0,0,3
714,782,0
596749,561904,0
44978,43166,0
569990,975522,0
0,0,3
37715,36421,3
17913,17979,2
0,0,2
942660,944956,0
0,0,5
17913,17979,3
0,0,3
0,0,5
0,0,4
0,0,0
0,0,2
596749,561904,0
0,0,2
0,0,0
0,0,2
0,0,2
372227,304568,3
0,0,3
0,0,2
0,0,0
0,0,5
0,0,5
0,0,3
0,0,4
0,0,0
0,0,0
0,0,5
0,0,4
0,0,2
23390,23847,3
596749,561904,1
0,0,1
0,0,2
0,0,4
127093,128617,3
0,0,4
596749,561904,0
59051,60734,0
0,0,3
0,0,4
942660,944956,0
127093,128617,4
0,0,3
0,0,4
247478,141344,0
894063,903261,0
246043,515530,0
0,0,3
