friends,followes,sentiment
0,0,0.484022556
0,0,0.26
0,0,0.39075388
353664,342787,0.420259259
0,0,0.475121753
0,0,0.370855615
353664,342787,0.449305556
596749,561904,0.456232752
0,0,0.479301748
942660,944956,0.236160714
393286,241968,0.245227273
0,0,0.225
0,0,0.473111785
0,0,0.385960473
0,0,0.387731481
0,0,0.109375
0,0,0.50345689
0,0,0.524594156
0,0,0.478611111
416437,418488,0.291579517
247478,141344,0.596212121
0,0,0.454012508
0,0,0.394770653
0,0,0.354877594
0,0,0.523149866
569990,975522,0.579292929
625017,615966,0.591486985
0,0,0.443915344
0,0,0.424774807
0,0,0.406397306
0,0,0.427367988
0,0,0.438714142
0,0,0.412626263
0,0,0.541666667
127093,128617,0.414187386
127093,128617,0.389858467
0,0,0.451490176
0,0,0.278944444
353664,342787,0.45515873
0,0,0.594362582
0,0,0.404092803
0,0,0.450542488
0,0,0.377857143
0,0,0.474358974
353664,342787,0.438134921
625017,615966,0.465402367
0,0,0.461666667
0,0,0.394545455
0,0,0.381267715
596749,561904,0.441369048
0,0,0.475883257
0,0,0.32769697
0,0,0.45316092
372227,304568,0.414986772
0,0,0.477170868
0,0,0.550045788
34089,34114,0.461476024
596749,561904,0.384587333
0,0,0.54040855
0,0,0.515386905
108241,107041,0.376822002
0,0,0.399382148
21812,22454,0.3
34089,34114,0.480612245
0,0,0.509297052
0,0,0.447569444
596749,561904,0.515625
0,0,0.450883838
353664,342787,0.493771173
0,0,0.435157322
894063,903261,0.451851852
0,0,0.349562937
0,0,0.294124717
0,0,0.539119769
18888,18517,0.382782072
0,0,0.578125
247478,141344,0.496053946
353664,342787,0.425793651
353664,342787,0.656390977
0,0,0.39521919
0,0,0.421796537
353664,342787,0.432756133
894063,903261,0.55469697
0,0,0.319770408
0,0,0.440715517
569990,975522,0.423411095
0,0,0.460995748
0,0,0.428885582
0,0,0.484499618
0,0,0.6375
0,0,0.424338624
0,0,0.43959666
0,0,0.39714425
416437,418488,0.454697575
0,0,0.334090909
0,0,0.253333333
0,0,0.434141988
714,782,0.15
596749,561904,0.46865873
44978,43166,0.434835984
569990,975522,0.306149733
0,0,0.40625
37715,36421,0.443154762
17913,17979,0.40771722
0,0,0.419880229
942660,944956,0.39767316
0,0,0.335416667
17913,17979,0.401108289
0,0,0.34950325
0,0,0.506450865
0,0,0.38029415
0,0,0.489393939
0,0,0.348162941
596749,561904,0.875
0,0,0.383333333
0,0,0.442291667
0,0,0.397901876
0,0,0.489563185
372227,304568,0.35719697
0,0,0.25537037
0,0,0.458983641
0,0,0.330767652
0,0,0.306926407
0,0,0.680769231
0,0,0.433524904
0,0,0.587323481
0,0,0.420509762
0,0,0.200487872
0,0,0.394088738
0,0,0.554842543
0,0,0.459929078
23390,23847,0.457800284
596749,561904,0.384271099
0,0,0.424500719
0,0,0.384683341
0,0,0.517029221
127093,128617,0.372990916
0,0,0.47892785
596749,561904,0.531691919
59051,60734,0.477678571
0,0,0.462891156
0,0,0.345292208
942660,944956,0.546333333
127093,128617,0.536202686
0,0,0.474131944
0,0,0.540344278
247478,141344,0.62375
894063,903261,0.432389832
246043,515530,0.545454545
0,0,0.370132655
0,0,0.4625
0,0,0.65
0,0,0.457804648
0,0,0.316287879
0,0,0.561429156
59051,60734,0.602839782
569990,975522,0.464365664
0,0,0.383333333
0,0,0.300505051
0,0,0.417624855
353664,342787,0.550297619
0,0,0.467857143
569990,975522,0.475829726
353664,342787,0.441666667
0,0,0.358658009
353664,342787,0.432666667
0,0,0.576654909
0,0,0.73974359
0,0,0.373768351
0,0,0.472354114
596749,561904,0.471551724
942660,944956,0.403030303
0,0,0.29925362
0,0,0.383426704
596749,561904,0.542582418
0,0,0.406990232
0,0,0.451412816
0,0,0.434891775
0,0,0.6175
0,0,0.476903139
0,0,0.363888889
194264,192570,0.547737374
0,0,0.37967773
0,0,0.5
0,0,0.359030486
0,0,0.481293385
0,0,0.376055499
0,0,0.493988095
108241,107041,0.328571429
18888,18517,0.509667648
596749,561904,0.52359561
0,0,0.3254995
0,0,0.279315476
0,0,0.494444444
0,0,0.344166667
0,0,0.437875481
0,0,0.528535354
353664,342787,0.571649184
0,0,0.488869048
596749,561904,0.378548086
0,0,0.299859307
823844,815195,0.533225108
353664,342787,0.406719368
0,0,0.469595324
194264,192570,0.363455988
0,0,0.379244453
0,0,0.357199797
0,0,0.348412698
0,0,0.48552963
596749,561904,0.415747126
0,0,0.347619048
372227,304568,0.468324757
596749,561904,0.598848605
0,0,0.377749466
0,0,0.301670844
0,0,0.401591045
0,0,0.507184343
0,0,0.386404184
0,0,0.311848073
596749,561904,0.473911529
0,0,0.690202621
0,0,0.464854769
0,0,0.443410918
596749,561904,0.35105364
596749,561904,0.571041667
596749,561904,0.49054061
34089,34114,0.239049587
596749,561904,0.399163449
0,0,0.661458333
108241,107041,0.364766082
0,0,0.387799623
708220,627936,0.406616162
0,0,0.533443223
0,0,0.309548611
569990,975522,0.501449275
0,0,0.468618101
17913,17979,0.330964282
569990,975522,0.32760989
714,782,0.5
0,0,0.197619048
17913,17979,0.468120227
12033,12283,0
12033,12283,0.457612808
0,0,0.187621151
0,0,0.377913753
0,0,0.487400794
0,0,0.451992225
0,0,0.348484848
12033,12283,0.451455026
596749,561904,0.439243943
0,0,0.447359963
0,0,0.48261034
0,0,0.419406751
596749,561904,0.497058488
625017,615966,0.515559764
596749,561904,0.444534203
1393286,1241968,0.417910768
0,0,0.420540838
247038,239922,0.489999359
0,0,0.614069264
0,0,0.495424837
596749,561904,0.442692308
625017,615966,0.448825307
0,0,0.364609002
596749,561904,0.398577864
17913,17979,0.445163571
714,782,0.35
0,0,0.393877165
0,0,0.477576811
0,0,0.453126012
0,0,0.526471512
0,0,0.44375
0,0,0.543518519
0,0,0.477515444
596749,561904,0.446755369
0,0,0.390597729
23390,23847,0.457482913
12033,12283,0.475858586
0,0,0.515348124
0,0,0.572077922
0,0,0.36932966
0,0,0.438688578
0,0,0.293903319
17913,17979,0.355980333
0,0,0.497616959
353664,342787,0.335449735
0,0,0.332628571
10075,10561,0.200592449
0,0,0.875
10075,10561,0.431292833
0,0,0.508783269
942660,944956,0.281481481
625017,615966,0.554712341
353664,342787,0.458110119
0,0,0.475638436
569990,975522,0.488974567
596749,561904,0.424411128
942660,944956,0.496952381
0,0,0.302742195
0,0,0.595089286
108241,107041,0.406712963
0,0,0.362687495
596749,561904,0.38216025
0,0,0.410729437
0,0,0.407310606
0,0,0.414072837
0,0,0.403795094
0,0,0.305555556
17913,17979,0.35496633
0,0,0.42164787
537448,523515,0.448316017
17913,17979,0.423977874
894063,903261,0.416948175
0,0,0.166527778
10075,10561,0.465865633
0,0,0.357960707
353664,342787,0.482063492
17913,17979,0.471061547
0,0,0.220447749
714,782,0.4
0,0,0.395642466
942660,944956,0.293988095
0,0,0.445416667
108241,107041,0.653333333
0,0,0.328143939
0,0,0.264814815
0,0,0.328251303
596749,561904,0.667424242
894063,903261,0.51671832
0,0,0.534995895
0,0,0.437698413
0,0,0.492817571
0,0,0.38
