date,readability
817,2
803,0
820,0
792,0
814,4
820,0
806,0
819,1
813,5
803,0
820,0
820,0
820,4
814,4
809,3
790,0
820,0
812,2
820,2
818,1
818,1
820,4
801,2
809,0
807,5
815,0
793,0
801,0
804,4
817,1
797,2
805,0
820,0
813,5
814,2
814,4
808,2
814,3
815,0
805,3
818,2
799,0
807,0
810,3
812,0
816,2
817,2
815,0
804,4
819,0
814,2
819,2
820,2
793,1
808,1
817,4
809,0
819,0
804,1
808,0
794,0
792,3
803,0
805,0
816,3
812,3
818,0
815,0
814,0
808,3
813,2
798,0
816,3
807,1
814,0
817,1
816,0
806,0
796,1
803,0
807,3
794,1
815,3
809,1
814,3
818,0
818,0
811,1
812,1
820,1
820,3
819,4
817,0
819,2
798,0
812,4
806,3
820,0
818,0
808,0
805,0
815,3
811,3
800,2
804,2
814,0
812,5
803,3
804,3
820,5
804,4
818,0
790,2
819,0
810,2
796,0
806,2
793,2
809,3
815,3
809,2
816,0
812,5
800,5
817,3
798,4
800,0
820,0
820,5
816,4
805,2
818,3
819,1
819,1
802,2
809,4
814,3
812,4
818,0
815,0
818,3
814,4
810,0
814,4
813,3
797,4
817,0
812,0
818,0
811,3
814,0
808,5
816,2
817,0
820,0
798,0
809,0
815,0
804,2
818,3
806,2
807,0
811,0
799,0
816,2
807,0
811,1
807,1
794,1
799,1
818,0
801,0
812,3
792,0
819,1
812,0
820,0
817,0
792,1
804,2
811,0
802,3
817,3
820,2
818,0
800,3
820,1
798,0
818,0
811,1
819,3
793,4
819,2
808,1
805,2
810,2
798,1
811,0
797,0
819,0
817,2
820,3
793,0
811,1
804,0
792,1
809,3
819,2
814,0
819,1
805,0
814,2
818,3
797,1
792,0
805,5
791,2
818,1
813,3
819,0
819,3
819,4
805,4
818,2
819,0
818,0
819,0
819,0
804,0
817,3
818,2
790,0
815,4
810,1
806,0
812,4
792,3
811,0
820,0
819,2
817,0
792,0
796,0
817,1
814,3
806,3
817,2
812,1
791,4
819,1
798,2
815,4
811,2
819,0
791,3
818,0
811,3
818,1
816,1
812,0
803,0
819,0
802,3
808,0
819,0
793,4
820,0
800,0
809,1
818,1
820,4
809,0
819,2
791,2
819,0
811,4
807,0
814,0
819,5
820,3
817,3
814,0
812,0
795,1
814,3
819,0
808,2
812,0
809,0
816,0
819,0
811,0
795,1
793,0
811,3
807,0
818,0
795,0
817,0
800,2
790,0
804,1
819,1
817,0
820,0
818,3
809,3
818,3
818,2
815,4
810,0
798,2
797,1
802,0
804,0
814,1
799,2
797,3
814,0
820,0
800,3
819,0
812,1
808,1
817,1
790,0
815,2
818,1
796,2
790,4
813,0
811,2
806,3
816,3
816,5
812,2
813,3
818,1
811,3
792,3
792,1
819,2
792,0
812,0
797,2
797,2
815,3
813,3
806,1
819,2
809,0
802,0
819,2
800,0
818,0
819,3
805,0
818,4
803,1
818,0
811,0
814,0
819,0
808,3
816,0
818,3
791,1
803,0
810,3
819,0
807,0
812,2
820,0
801,0
815,5
809,3
819,2
802,0
794,2
814,0
806,4
805,2
804,0
816,4
812,3
818,0
799,4
820,1
812,0
812,0
804,3
797,2
801,0
819,2
807,1
813,2
819,0
790,0
820,3
817,0
794,0
800,4
816,0
817,2
790,1
809,1
813,4
792,3
802,1
805,1
820,2
803,0
797,2
818,3
799,0
818,3
819,0
811,0
811,0
817,2
820,0
800,0
802,1
814,3
814,0
810,2
801,1
811,0
809,0
817,3
803,0
818,0
818,0
818,3
807,5
813,3
818,0
793,1
798,0
814,4
814,0
800,1
804,0
813,1
815,0
806,0
812,3
818,1
806,0
815,1
815,0
807,0
819,2
792,0
812,3
820,0
805,3
791,0
818,2
814,2
814,0
818,2
818,0
819,0
817,0
820,0
807,0
805,2
799,1
819,3
805,0
811,0
819,0
814,2
794,3
818,3
805,2
819,1
819,1
807,0
810,0
812,2
802,0
808,4
820,0
812,0
802,0
806,0
799,3
818,0
813,0
792,0
819,2
812,0
814,0
808,5
818,3
815,0
793,1
818,1
790,5
818,1
811,0
799,0
806,0
792,2
796,0
818,2
790,0
815,0
804,0
812,5
813,1
811,4
815,2
806,0
816,3
807,0
803,2
818,2
797,2
816,5
802,2
820,3
820,0
809,5
799,0
805,2
817,2
801,3
808,0
806,2
805,0
793,0
803,3
810,2
793,0
812,3
808,0
814,0
811,0
819,2
815,0
814,4
807,0
811,2
812,2
812,0
813,2
809,0
809,2
820,0
818,0
802,4
807,0
803,0
818,4
807,0
806,3
807,3
818,0
819,2
797,0
810,0
808,4
806,0
813,0
820,0
814,1
816,0
793,0
817,2
793,0
818,4
797,0
797,0
809,3
819,0
798,3
808,4
792,0
806,0
812,0
805,4
818,2
797,0
812,3
806,1
808,0
811,4
819,1
820,0
812,1
819,3
801,0
801,0
818,0
815,0
807,2
801,1
814,4
818,0
813,0
812,0
813,1
799,0
811,3
806,0
792,3
818,5
811,0
806,0
801,1
793,2
792,0
818,3
812,1
811,2
811,0
818,3
811,0
818,0
818,0
812,0
790,2
812,0
819,0
798,1
817,3
819,2
813,1
803,0
809,0
793,0
817,4
818,2
819,0
798,0
819,0
793,0
809,1
817,3
799,1
805,1
818,1
810,0
810,0
808,0
818,0
813,0
805,3
818,4
820,0
815,0
805,5
818,0
816,1
805,3
820,4
801,5
804,2
804,4
804,2
804,0
793,4
818,0
819,2
819,0
796,0
814,2
819,4
792,0
807,0
809,6
807,1
795,3
802,1
818,1
817,3
820,0
819,0
803,3
805,2
819,0
799,0
807,1
820,0
818,0
818,2
819,0
793,2
805,0
813,2
818,0
799,1
819,0
809,1
819,2
817,4
809,4
815,0
801,2
818,2
814,3
819,0
820,0
812,0
805,2
810,3
817,2
820,4
809,0
805,4
812,0
806,0
805,3
815,1
819,0
819,0
798,0
804,2
805,2
809,3
817,0
819,3
814,0
800,4
809,0
806,0
800,0
819,0
798,2
816,0
817,1
820,2
812,2
814,1
818,0
802,0
819,2
806,5
806,0
807,0
810,0
810,2
815,0
814,2
794,0
811,2
798,0
802,3
793,0
793,4
818,2
811,1
811,0
811,0
814,2
798,1
802,0
801,0
816,2
801,1
805,3
813,0
812,0
811,4
804,3
800,5
819,2
818,2
815,4
810,3
818,0
810,3
802,0
811,1
814,0
804,0
819,4
815,0
792,0
804,0
790,0
803,4
803,3
806,0
819,1
818,5
796,0
810,2
816,1
804,4
820,0
812,2
812,0
793,0
812,0
794,0
819,2
812,0
818,2
811,2
819,1
801,2
818,0
806,0
804,2
811,1
795,3
791,2
809,2
807,2
812,3
818,0
791,2
801,3
812,0
819,3
814,3
816,3
805,0
818,3
814,4
816,1
812,2
811,3
803,4
807,0
805,0
803,0
811,0
813,0
807,0
814,2
808,0
814,4
808,1
813,0
798,0
819,5
800,2
813,3
807,0
790,1
820,5
819,0
806,0
808,0
811,0
818,4
814,0
811,0
814,0
819,1
806,0
805,0
815,0
819,0
806,0
804,2
803,0
819,0
814,0
800,0
814,0
794,0
820,0
819,2
802,1
806,0
803,0
817,0
814,0
812,0
818,3
820,0
814,3
819,0
814,0
813,0
820,3
817,0
802,3
