replies_count,participants_count,likes,comments,shares,website_type,safety_r,reputation,trustworthiness,child_safety,domain_rank,readability
0,1,2,0,2,2,2,4,81,76,12993,2
0,0,0,0,0,2,1,0,0,0,0,0
0,1,7,0,7,2,2,3.9,77,99,6659,0
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,2,0,1.2,24,28,0,4
0,1,0,0,0,2,2,3.9,77,99,6659,0
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,2,2,3.1,63,68,0,1
0,1,0,0,0,2,1,4.6,92,90,51784,5
0,0,0,0,0,8,2,4.6,92,92,38347,0
0,0,0,0,0,1,2,4.5,90,90,5772,0
0,0,0,0,0,2,0,1.2,24,28,0,0
1,2,9,0,9,2,2,3.9,77,99,6659,4
0,1,0,0,0,2,2,4.5,89,87,82758,4
0,0,0,0,0,4,1,0,0,0,0,3
0,0,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,2,3.9,77,99,6659,0
0,0,0,0,0,2,1,0,0,0,0,2
0,1,1,0,1,2,2,3.9,77,99,6659,2
0,1,0,0,0,2,1,2.5,50,46,68691,1
0,0,0,0,0,2,2,4,81,85,14170,1
0,1,2,0,2,2,2,3.9,77,99,6659,4
0,1,0,0,0,2,2,4.5,89,87,82758,2
0,1,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,2,4.5,89,87,82758,5
0,0,357,0,357,2,2,4.7,94,82,2182,0
0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,2,1,2.5,50,11,0,0
0,1,0,0,0,2,2,4.5,89,87,82758,4
0,0,0,0,0,2,1,0,0,0,0,1
0,1,0,0,0,2,1,4.6,92,90,51784,2
0,1,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,2,3.9,77,99,6659,0
0,0,0,0,0,2,1,0,0,0,0,5
0,1,0,0,0,2,2,4.3,87,87,23950,2
0,1,0,0,0,2,2,4.3,87,87,23950,4
0,0,0,0,0,2,1,0,0,0,0,2
0,0,0,0,0,2,1,3.1,63,77,0,3
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,1,1,3,60,54,25689,3
0,1,0,0,0,2,2,4.5,89,87,82758,2
0,1,0,0,0,2,2,4.5,89,87,82758,0
0,0,0,0,0,2,1,2.5,50,28,0,0
0,0,0,0,0,2,1,0,0,0,0,3
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,2,1,0,0,0,0,2
0,1,0,0,0,2,2,4,81,76,12993,2
0,1,0,0,0,2,1,4.6,92,90,51784,0
0,0,0,0,0,2,1,2.5,50,29,0,4
0,0,0,0,0,2,2,3.1,63,68,0,0
0,0,0,0,0,2,1,4.3,87,0,0,2
0,1,0,0,0,2,2,4,81,76,12993,2
0,1,0,0,0,2,2,3.9,77,99,6659,2
0,0,0,0,0,2,1,3.3,65,84,7587,1
0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,6,1,2.3,45,41,11584,4
0,0,0,0,0,3,1,3.9,78,82,0,0
0,0,0,0,0,2,2,3.1,63,68,0,0
0,0,0,0,0,2,1,0,0,0,3921,1
0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,2,1,2.1,42,58,0,0
0,1,0,0,0,2,1,0,0,0,0,3
0,0,0,0,0,2,1,3,60,0,0,0
0,0,0,0,0,3,1,3.9,78,82,0,0
0,0,0,0,0,2,1,0,0,0,30230,3
0,0,0,0,0,2,1,2.5,50,28,0,3
0,0,0,0,0,2,2,3.1,63,68,0,0
0,0,0,0,0,2,1,1.8,35,41,0,0
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,2,1,0,0,0,3921,3
0,0,0,0,0,1,2,3.6,72,85,15846,2
0,0,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,1,0,0,0,0,3
0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,2,1,3,61,68,0,0
0,1,0,0,0,2,2,4,81,76,12993,1
0,0,0,0,0,2,2,4,81,85,14170,0
0,0,0,0,0,2,1,4,80,93,43327,0
0,0,0,0,0,2,1,4,80,93,43327,1
0,1,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,2,1,2.5,50,11,0,3
0,0,0,0,0,2,1,4,80,93,43327,1
0,0,0,0,0,1,2,3.6,72,85,15846,3
0,0,0,0,0,2,1,3,60,62,0,1
0,1,0,0,0,2,2,4.5,89,87,82758,3
0,0,0,0,0,2,2,4.7,94,82,2182,0
0,1,0,0,0,2,2,4.5,89,87,82758,0
0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,2,1,2.5,50,29,0,1
0,1,0,0,0,2,2,3.9,77,99,6659,1
0,0,0,0,0,2,1,0,0,0,0,3
0,1,0,0,0,2,2,4.5,89,87,82758,4
0,0,0,0,0,2,1,3.6,72,93,0,0
0,1,0,0,0,2,1,2.5,50,46,68691,2
0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,2,1,0,0,0,0,4
0,1,0,0,0,2,2,4.5,89,87,82758,3
0,1,0,0,0,3,2,4.3,86,84,41475,0
0,0,0,0,0,2,2,3.1,63,68,0,0
0,0,0,0,0,2,2,4,81,84,93150,0
0,0,0,0,0,2,2,4.7,94,82,2182,0
0,0,0,0,0,2,1,4.3,87,0,0,3
0,0,0,0,0,5,2,4.3,86,88,34811,3
0,0,0,0,0,2,2,3.5,69,70,79662,2
0,1,0,0,0,2,2,4.5,89,87,82758,2
0,0,0,0,0,8,2,4.6,92,92,38347,0
0,0,0,0,0,2,1,0,0,0,0,5
0,0,0,0,0,2,2,3.5,69,70,79662,3
0,1,0,0,0,2,1,0,0,0,0,3
0,1,0,0,0,2,2,3.9,77,99,6659,5
0,1,0,0,0,2,2,4.5,89,87,82758,4
0,0,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,1,4.6,92,90,51784,2
0,0,0,0,0,2,2,3.1,63,68,0,0
0,1,0,0,0,2,1,0,0,0,0,2
0,0,0,0,0,2,0,1.2,24,28,0,0
0,1,0,0,0,2,1,0,0,0,0,2
0,0,0,0,0,2,1,0,0,0,0,2
0,0,0,0,0,2,1,3.3,65,84,7587,3
0,0,0,0,0,2,1,0,0,0,0,3
0,0,0,0,0,2,1,0,0,0,0,2
0,0,0,0,0,2,1,2.5,50,0,0,0
0,1,0,0,0,2,1,0,0,0,0,5
0,0,0,0,0,2,1,4.3,87,0,0,5
0,0,0,0,0,2,1,2.5,50,0,0,3
0,1,0,0,0,2,1,4.6,92,90,51784,4
0,0,0,0,0,2,1,0,0,0,0,0
0,1,0,0,0,2,2,3.9,77,99,6659,0
0,1,0,0,0,2,2,3.9,77,99,6659,5
0,0,0,0,0,2,1,0,0,0,0,4
0,1,0,0,0,2,2,4.5,89,87,82758,2
