website_type,safety_r,reputation,trustworthiness,child_safety,readability
2,2,4,81,76,2
2,1,0,0,0,0
2,2,3.9,77,99,0
2,1,4,80,93,0
2,0,1.2,24,28,4
2,2,3.9,77,99,0
2,1,4,80,93,0
2,2,3.1,63,68,1
2,1,4.6,92,90,5
8,2,4.6,92,92,0
1,2,4.5,90,90,0
2,0,1.2,24,28,0
2,2,3.9,77,99,4
2,2,4.5,89,87,4
4,1,0,0,0,3
2,1,0,0,0,0
2,2,3.9,77,99,0
2,1,0,0,0,2
2,2,3.9,77,99,2
2,1,2.5,50,46,1
2,2,4,81,85,1
2,2,3.9,77,99,4
2,2,4.5,89,87,2
2,1,0,0,0,0
2,2,4.5,89,87,5
2,2,4.7,94,82,0
2,1,0,0,0,0
2,1,2.5,50,11,0
2,2,4.5,89,87,4
2,1,0,0,0,1
2,1,4.6,92,90,2
2,1,0,0,0,0
2,2,3.9,77,99,0
2,1,0,0,0,5
2,2,4.3,87,87,2
2,2,4.3,87,87,4
2,1,0,0,0,2
2,1,3.1,63,77,3
2,1,4,80,93,0
1,1,3,60,54,3
2,2,4.5,89,87,2
2,2,4.5,89,87,0
2,1,2.5,50,28,0
2,1,0,0,0,3
2,1,4,80,93,0
2,1,0,0,0,2
2,2,4,81,76,2
2,1,4.6,92,90,0
2,1,2.5,50,29,4
2,2,3.1,63,68,0
2,1,4.3,87,0,2
2,2,4,81,76,2
2,2,3.9,77,99,2
2,1,3.3,65,84,1
2,1,0,0,0,1
6,1,2.3,45,41,4
3,1,3.9,78,82,0
2,2,3.1,63,68,0
2,1,0,0,0,1
2,1,0,0,0,0
2,1,2.1,42,58,0
2,1,0,0,0,3
2,1,3,60,0,0
3,1,3.9,78,82,0
2,1,0,0,0,3
2,1,2.5,50,28,3
2,2,3.1,63,68,0
2,1,1.8,35,41,0
2,1,4,80,93,0
2,1,0,0,0,3
1,2,3.6,72,85,2
2,1,0,0,0,0
2,1,0,0,0,3
2,1,0,0,0,1
2,1,3,61,68,0
2,2,4,81,76,1
2,2,4,81,85,0
2,1,4,80,93,0
2,1,4,80,93,1
2,1,0,0,0,0
2,1,2.5,50,11,3
2,1,4,80,93,1
1,2,3.6,72,85,3
2,1,3,60,62,1
2,2,4.5,89,87,3
2,2,4.7,94,82,0
2,2,4.5,89,87,0
2,1,0,0,0,1
2,1,2.5,50,29,1
2,2,3.9,77,99,1
2,1,0,0,0,3
2,2,4.5,89,87,4
2,1,3.6,72,93,0
2,1,2.5,50,46,2
2,1,0,0,0,0
2,1,0,0,0,4
2,2,4.5,89,87,3
3,2,4.3,86,84,0
2,2,3.1,63,68,0
2,2,4,81,84,0
2,2,4.7,94,82,0
2,1,4.3,87,0,3
5,2,4.3,86,88,3
2,2,3.5,69,70,2
2,2,4.5,89,87,2
8,2,4.6,92,92,0
2,1,0,0,0,5
2,2,3.5,69,70,3
2,1,0,0,0,3
2,2,3.9,77,99,5
