website_type,safety_r,reputation,trustworthiness,child_safety,sentiment
2,2,4,81,76,0.484022556
2,1,0,0,0,0.26
2,2,3.9,77,99,0.39075388
2,1,4,80,93,0.420259259
2,0,1.2,24,28,0.475121753
2,2,3.9,77,99,0.370855615
2,1,4,80,93,0.449305556
2,2,3.1,63,68,0.456232752
2,1,4.6,92,90,0.479301748
8,2,4.6,92,92,0.236160714
1,2,4.5,90,90,0.245227273
2,0,1.2,24,28,0.225
2,2,3.9,77,99,0.473111785
2,2,4.5,89,87,0.385960473
4,1,0,0,0,0.387731481
2,1,0,0,0,0.109375
2,2,3.9,77,99,0.50345689
2,1,0,0,0,0.524594156
2,2,3.9,77,99,0.478611111
2,1,2.5,50,46,0.291579517
2,2,4,81,85,0.596212121
2,2,3.9,77,99,0.454012508
2,2,4.5,89,87,0.394770653
2,1,0,0,0,0.354877594
2,2,4.5,89,87,0.523149866
2,2,4.7,94,82,0.579292929
2,1,0,0,0,0.591486985
2,1,2.5,50,11,0.443915344
2,2,4.5,89,87,0.424774807
2,1,0,0,0,0.406397306
2,1,4.6,92,90,0.427367988
2,1,0,0,0,0.438714142
2,2,3.9,77,99,0.412626263
2,1,0,0,0,0.541666667
2,2,4.3,87,87,0.414187386
2,2,4.3,87,87,0.389858467
2,1,0,0,0,0.451490176
2,1,3.1,63,77,0.278944444
2,1,4,80,93,0.45515873
1,1,3,60,54,0.594362582
2,2,4.5,89,87,0.404092803
2,2,4.5,89,87,0.450542488
2,1,2.5,50,28,0.377857143
2,1,0,0,0,0.474358974
2,1,4,80,93,0.438134921
2,1,0,0,0,0.465402367
2,2,4,81,76,0.461666667
2,1,4.6,92,90,0.394545455
2,1,2.5,50,29,0.381267715
2,2,3.1,63,68,0.441369048
2,1,4.3,87,0,0.475883257
2,2,4,81,76,0.32769697
2,2,3.9,77,99,0.45316092
2,1,3.3,65,84,0.414986772
2,1,0,0,0,0.477170868
6,1,2.3,45,41,0.550045788
3,1,3.9,78,82,0.461476024
2,2,3.1,63,68,0.384587333
2,1,0,0,0,0.54040855
2,1,0,0,0,0.515386905
2,1,2.1,42,58,0.376822002
2,1,0,0,0,0.399382148
2,1,3,60,0,0.3
3,1,3.9,78,82,0.480612245
2,1,0,0,0,0.509297052
2,1,2.5,50,28,0.447569444
2,2,3.1,63,68,0.515625
2,1,1.8,35,41,0.450883838
2,1,4,80,93,0.493771173
2,1,0,0,0,0.435157322
1,2,3.6,72,85,0.451851852
2,1,0,0,0,0.349562937
2,1,0,0,0,0.294124717
2,1,0,0,0,0.539119769
2,1,3,61,68,0.382782072
2,2,4,81,76,0.578125
2,2,4,81,85,0.496053946
2,1,4,80,93,0.425793651
2,1,4,80,93,0.656390977
2,1,0,0,0,0.39521919
2,1,2.5,50,11,0.421796537
2,1,4,80,93,0.432756133
1,2,3.6,72,85,0.55469697
2,1,3,60,62,0.319770408
2,2,4.5,89,87,0.440715517
2,2,4.7,94,82,0.423411095
2,2,4.5,89,87,0.460995748
2,1,0,0,0,0.428885582
2,1,2.5,50,29,0.484499618
2,2,3.9,77,99,0.6375
2,1,0,0,0,0.424338624
2,2,4.5,89,87,0.43959666
2,1,3.6,72,93,0.39714425
