sentiment,readability
0.484022556,2
0.26,0
0.39075388,0
0.420259259,0
0.475121753,4
0.370855615,0
0.449305556,0
0.456232752,1
0.479301748,5
0.236160714,0
0.245227273,0
0.225,0
0.473111785,4
0.385960473,4
0.387731481,3
0.109375,0
0.50345689,0
0.524594156,2
0.478611111,2
0.291579517,1
0.596212121,1
0.454012508,4
0.394770653,2
0.354877594,0
0.523149866,5
0.579292929,0
0.591486985,0
0.443915344,0
0.424774807,4
0.406397306,1
0.427367988,2
0.438714142,0
0.412626263,0
0.541666667,5
0.414187386,2
0.389858467,4
0.451490176,2
0.278944444,3
0.45515873,0
0.594362582,3
0.404092803,2
0.450542488,0
0.377857143,0
0.474358974,3
0.438134921,0
0.465402367,2
0.461666667,2
0.394545455,0
0.381267715,4
0.441369048,0
0.475883257,2
0.32769697,2
0.45316092,2
0.414986772,1
0.477170868,1
0.550045788,4
0.461476024,0
0.384587333,0
0.54040855,1
0.515386905,0
0.376822002,0
0.399382148,3
0.3,0
0.480612245,0
0.509297052,3
0.447569444,3
0.515625,0
0.450883838,0
0.493771173,0
0.435157322,3
0.451851852,2
0.349562937,0
0.294124717,3
0.539119769,1
0.382782072,0
0.578125,1
0.496053946,0
0.425793651,0
0.656390977,1
0.39521919,0
0.421796537,3
0.432756133,1
0.55469697,3
0.319770408,1
0.440715517,3
0.423411095,0
0.460995748,0
0.428885582,1
0.484499618,1
0.6375,1
0.424338624,3
0.43959666,4
0.39714425,0
0.454697575,2
0.334090909,0
0.253333333,4
0.434141988,3
0.15,0
0.46865873,0
0.434835984,0
0.306149733,0
0.40625,3
0.443154762,3
0.40771722,2
0.419880229,2
0.39767316,0
0.335416667,5
0.401108289,3
0.34950325,3
0.506450865,5
0.38029415,4
0.489393939,0
0.348162941,2
0.875,0
0.383333333,2
0.442291667,0
0.397901876,2
0.489563185,2
0.35719697,3
0.25537037,3
0.458983641,2
0.330767652,0
0.306926407,5
0.680769231,5
0.433524904,3
0.587323481,4
0.420509762,0
0.200487872,0
0.394088738,5
0.554842543,4
0.459929078,2
0.457800284,3
0.384271099,1
0.424500719,1
0.384683341,2
0.517029221,4
0.372990916,3
0.47892785,4
0.531691919,0
0.477678571,0
0.462891156,3
0.345292208,4
0.546333333,0
0.536202686,4
0.474131944,3
0.540344278,4
0.62375,0
0.432389832,0
0.545454545,0
0.370132655,3
0.4625,0
0.65,5
0.457804648,2
0.316287879,0
0.561429156,0
0.602839782,0
0.464365664,0
0.383333333,0
0.300505051,2
0.417624855,3
0.550297619,2
0.467857143,0
0.475829726,0
0.441666667,0
0.358658009,2
0.432666667,0
0.576654909,1
0.73974359,1
0.373768351,1
0.472354114,1
0.471551724,0
0.403030303,0
0.29925362,3
0.383426704,0
0.542582418,1
0.406990232,0
0.451412816,0
0.434891775,0
0.6175,1
0.476903139,2
0.363888889,0
0.547737374,3
0.37967773,3
0.5,2
0.359030486,0
0.481293385,3
0.376055499,1
0.493988095,0
0.328571429,0
0.509667648,1
0.52359561,3
0.3254995,4
0.279315476,2
0.494444444,1
0.344166667,2
0.437875481,2
0.528535354,1
0.571649184,0
0.488869048,0
0.378548086,0
0.299859307,2
0.533225108,3
0.406719368,0
0.469595324,1
0.363455988,0
0.379244453,1
0.357199797,3
0.348412698,2
0.48552963,0
0.415747126,1
0.347619048,0
0.468324757,2
0.598848605,3
0.377749466,1
0.301670844,0
0.401591045,5
0.507184343,2
0.386404184,1
0.311848073,3
0.473911529,0
0.690202621,3
0.464854769,4
0.443410918,4
0.35105364,2
0.571041667,0
0.49054061,0
0.239049587,0
0.399163449,0
0.661458333,0
0.364766082,3
0.387799623,2
0.406616162,0
0.533443223,4
0.309548611,1
0.501449275,0
0.468618101,4
0.330964282,3
0.32760989,0
0.5,0
0.197619048,2
0.468120227,0
0,0
0.457612808,0
0.187621151,1
0.377913753,3
0.487400794,3
0.451992225,2
0.348484848,1
0.451455026,4
0.439243943,1
0.447359963,2
0.48261034,4
0.419406751,2
0.497058488,0
0.515559764,3
0.444534203,0
0.417910768,3
0.420540838,1
0.489999359,1
0.614069264,0
0.495424837,0
0.442692308,0
0.448825307,3
0.364609002,0
0.398577864,0
0.445163571,4
0.35,0
0.393877165,0
0.477576811,1
0.453126012,1
0.526471512,4
0.44375,0
0.543518519,2
0.477515444,2
0.446755369,0
0.390597729,4
0.457482913,0
0.475858586,0
0.515348124,5
0.572077922,3
0.36932966,3
0.438688578,0
0.293903319,0
0.355980333,1
0.497616959,3
0.335449735,0
0.332628571,2
0.200592449,0
0.875,0
0.431292833,0
0.508783269,0
0.281481481,0
0.554712341,1
0.458110119,0
0.475638436,3
0.488974567,0
0.424411128,0
0.496952381,0
0.302742195,0
0.595089286,2
0.406712963,0
0.362687495,1
0.38216025,1
0.410729437,0
0.407310606,0
0.414072837,3
0.403795094,3
0.305555556,3
0.35496633,2
0.42164787,4
0.448316017,0
0.423977874,2
0.416948175,1
0.166527778,0
0.465865633,0
0.357960707,1
0.482063492,2
0.471061547,3
0.220447749,0
0.4,0
0.395642466,3
0.293988095,0
0.445416667,1
0.653333333,1
0.328143939,1
0.264814815,0
0.328251303,2
0.667424242,1
0.51671832,2
0.534995895,4
0.437698413,0
0.492817571,2
0.38,3
0.290117845,3
0.480125319,5
0.395441293,2
0.565972222,3
0.535097687,1
0.400152229,3
0.444488516,3
0.392471086,1
0.39273183,2
0.46965873,0
0.513425926,0
0.407222222,2
0.393670717,2
0.325,3
0.426970802,3
0.587581699,1
0.445670996,2
0.533712121,0
0.67,0
0.415897066,2
0.238461538,0
0.740588116,0
0.437975702,3
0.466834734,0
0.516924675,4
0.453851402,1
0.304507811,0
0.449350649,0
0.245463253,0
0.472967358,0
0.510767316,3
0.376041667,0
0.409036973,3
0.355688279,1
0.564652015,0
0.477047619,3
0.452235772,0
0.387574272,0
0.472559487,2
0.151515152,0
0.369674494,0
0.492104543,5
0.44987437,3
0.281510417,2
0.49109063,0
0.37512285,2
0.457051282,0
0.325226757,4
0.519028723,2
0.413733394,0
0.470491242,4
0.40767071,3
0.472624684,0
0.490999412,4
0.25,1
0.489452561,0
0.360871212,0
0.411612979,3
0.353628118,2
0.417283951,0
0.436111111,2
0.329565099,1
0.683766234,2
0.401136364,0
0.260606061,0
0.470735786,3
0.485858586,0
0.57173913,0
0.41979782,4
0.55,0
0.412884113,2
0.356052245,1
0.425454545,1
0.441879026,4
0.467824074,3
0.382783883,1
0.089285714,1
0.412184196,2
0.505333366,0
0.557256236,2
0.505883251,3
0.349411649,0
0.388748097,3
0.256623049,0
0.333333333,0
0.487121212,0
0.523504274,2
0.450666439,0
0.331565657,0
0.744444444,1
0.232706767,3
0.402702703,0
0.378869048,2
0.436306599,1
0.464403292,0
0.322671156,0
0.433041958,3
0.428737542,0
0.429106428,0
0.266798942,0
0.326402918,3
0.545289855,5
0.461238974,3
0.427813853,0
0.38447205,1
0.507945869,0
0.389257002,4
0.6875,0
0.571666667,1
0.401398601,0
0.437032086,1
0.16547619,0
0.395192308,0
0.615674603,3
0.4375,1
0.694128788,0
0.487445887,1
0.417261905,0
0.403703704,0
0.6,2
0.50238837,0
0.480062823,3
0.269967532,0
0.44625,3
0.716666667,0
0.389177489,2
0.469601462,2
0.486805312,0
0.484920635,2
0.361111111,0
0.53030303,0
0.5,0
0.213888889,0
0.385409091,0
0.472929607,2
0.358664021,1
0.464454853,3
0.45797619,0
0.327638889,0
0.57213955,0
0.306344339,2
0.416017316,3
0.446200261,3
0.286875,2
0.433910344,1
0.275,1
0.506087662,0
0.464365664,0
0.43026418,2
0.28731685,0
0.506417112,4
0.331428571,0
0.466087344,0
0.377777778,0
0.463383838,0
0.473375861,3
0.529332904,0
0.489880952,0
0.368822394,0
0,2
0.433167388,0
0.354571691,0
0.456742424,5
0.575504299,3
0.450882035,0
0.563988095,1
0.445112414,1
0.088888889,5
0.484746873,1
0.336265432,0
0.451022902,0
0.407407407,0
0.36993007,2
0.393878788,0
0.360549041,2
0.501561412,0
0.458724463,0
0.88,0
0.428733766,5
0.6175,1
0.480657933,4
0.422097215,2
0.370454545,0
0.446246693,3
0.467384159,0
0.407857143,2
0.426256614,2
0.445192308,2
0.481746032,5
0.266666667,2
0.378230585,3
0.254133598,0
0.303703704,5
0.44538961,0
0.428571429,2
0.452207341,2
0.356404618,3
0.442911923,0
0.357575758,2
0.611771978,0
0.395959596,0
0.454254956,3
0.247222222,2
0.377651515,0
0.475939519,3
0.336265432,0
0.38757764,0
0.3498266,0
0.300181818,2
0.465565476,0
0.4372114,4
0.474677056,0
0.433974359,2
0.329347826,2
0.433860029,0
0.489328063,2
0.401175015,0
0.407605718,2
0.49251342,0
0.382403581,0
0.291304348,4
0.346428571,0
0.228012821,0
0.451681784,4
0.418268537,0
0.521587302,3
0.474479167,3
0.399284231,0
0.422124324,2
0.392857143,0
0.57247615,0
0.490351952,4
0.519761905,0
0.417548205,0
0.385714286,0
0.521794872,1
0.407142857,0
0.318660287,0
0.423989899,2
0.430833333,0
0.573834325,4
0.422249589,0
0.474537037,0
0.444976551,3
0.50085639,0
0.43003663,3
0.423575036,4
0.372236403,0
0.547807622,0
0.518711126,0
0.496419449,4
0.444010417,2
0.331780303,0
0.336530612,3
0.391666667,1
0.500462963,0
0.534413096,4
0.381920815,1
0.333333333,0
0.39,1
0.522796143,3
0.490227273,0
0.493589744,0
0.419206349,0
0.425373561,0
0.356299603,2
0.522777778,1
0.394533347,4
0,0
0.315052701,0
0.412066478,0
0.505668439,1
0.429333333,0
0.45,3
0.445531082,0
0.413762626,3
0.456313131,5
0.37119883,0
0.425128205,0
0.4625,1
0.463727939,2
0.319047619,0
0.438095238,3
0.324816387,1
0.493333333,2
0.525,0
0.600793651,3
0.766666667,0
0.290734266,0
0.442250406,0
0.357142857,0
0.373364937,2
0.383531406,0
0.458677638,0
0.461018379,1
0.269117647,3
0.475760932,2
0.557474747,1
0.423603094,0
0.347727273,0
0.287009804,0
0.544017094,4
0.595238095,2
0.277497666,0
0.431500847,0
0.58442029,0
0.429608586,0
0.449964986,1
0.442010582,3
0.434906861,1
0.47958153,1
0.600757576,1
0.2375,0
0.407051282,0
0.57547619,0
0.352204586,0
0.487820513,0
0.329423559,3
0.449265873,4
0.216384778,0
0.542665289,0
0.447718482,5
0.374524865,0
0.456328764,1
0.53920068,3
0.485024796,4
0.431413255,5
0.46025641,2
0.370833333,4
0.477431217,2
0.342593583,0
0.400728114,4
0.436503205,0
0.360774029,2
0.639841871,0
0.45698489,0
0.460602659,2
0.393021009,4
0,0
1,0
0.567654321,6
0.514731801,1
0.457296641,3
0.381111111,1
0.475116713,1
0.443745276,3
0.360760073,0
0.356692945,0
0.555151515,3
0.376404127,2
0.468148148,0
0.491027155,0
0.349616858,1
0.493470603,0
0.446428571,0
0.411219397,2
0.482211753,0
0.417748918,2
0.244444444,0
0.464082462,2
0.341666667,0
0.450477763,1
0.450146199,0
0.392373737,1
0.485782036,2
0.62139765,4
0.35043153,4
0.489594474,0
0.448701299,2
0.425,2
0.601587302,3
0.290734266,0
0.397826954,0
0.484571429,0
0.48543914,2
0.501068376,3
0.504750233,2
0.469502283,4
0.463450292,0
0.528070175,4
0.441568915,0
0.395756173,0
0.405666312,3
0.482458104,1
0.482843915,0
0.43002381,0
0.275,0
0.299242424,2
0.552568922,2
0.480847851,3
0.458982684,0
0.424280904,3
0.581906907,0
0.469457658,4
0.529081258,0
0.518374218,0
0.435690236,0
0.348828764,0
0.4535831,2
0.435,0
0.379739871,1
0.389804196,2
0.41025641,2
0.416570142,1
0.385869565,0
0.434007145,0
0.332142857,2
