website_type,friends,followes,safety_r,reputation,trustworthiness,child_safety
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,353664,342787,1,4,80,93
2,0,0,0,1.2,24,28
2,0,0,2,3.9,77,99
2,353664,342787,1,4,80,93
2,596749,561904,2,3.1,63,68
2,0,0,1,4.6,92,90
8,942660,944956,2,4.6,92,92
1,393286,241968,2,4.5,90,90
2,0,0,0,1.2,24,28
2,0,0,2,3.9,77,99
2,0,0,2,4.5,89,87
4,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,416437,418488,1,2.5,50,46
2,247478,141344,2,4,81,85
2,0,0,2,3.9,77,99
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,569990,975522,2,4.7,94,82
2,625017,615966,1,0,0,0
2,0,0,1,2.5,50,11
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,4.6,92,90
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,127093,128617,2,4.3,87,87
2,127093,128617,2,4.3,87,87
2,0,0,1,0,0,0
2,0,0,1,3.1,63,77
2,353664,342787,1,4,80,93
1,0,0,1,3,60,54
2,0,0,2,4.5,89,87
2,0,0,2,4.5,89,87
2,0,0,1,2.5,50,28
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,625017,615966,1,0,0,0
2,0,0,2,4,81,76
2,0,0,1,4.6,92,90
2,0,0,1,2.5,50,29
2,596749,561904,2,3.1,63,68
2,0,0,1,4.3,87,0
2,0,0,2,4,81,76
2,0,0,2,3.9,77,99
2,372227,304568,1,3.3,65,84
2,0,0,1,0,0,0
6,0,0,1,2.3,45,41
3,34089,34114,1,3.9,78,82
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,0,0,1,0,0,0
2,21812,22454,1,3,60,0
3,34089,34114,1,3.9,78,82
2,0,0,1,0,0,0
2,0,0,1,2.5,50,28
2,596749,561904,2,3.1,63,68
2,0,0,1,1.8,35,41
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
1,894063,903261,2,3.6,72,85
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,18888,18517,1,3,61,68
2,0,0,2,4,81,76
2,247478,141344,2,4,81,85
2,353664,342787,1,4,80,93
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,0,0,1,2.5,50,11
2,353664,342787,1,4,80,93
1,894063,903261,2,3.6,72,85
2,0,0,1,3,60,62
2,0,0,2,4.5,89,87
2,569990,975522,2,4.7,94,82
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,2.5,50,29
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,0,0,1,3.6,72,93
2,416437,418488,1,2.5,50,46
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
3,714,782,2,4.3,86,84
2,596749,561904,2,3.1,63,68
2,44978,43166,2,4,81,84
2,569990,975522,2,4.7,94,82
2,0,0,1,4.3,87,0
5,37715,36421,2,4.3,86,88
2,17913,17979,2,3.5,69,70
2,0,0,2,4.5,89,87
8,942660,944956,2,4.6,92,92
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,4.6,92,90
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,0,1.2,24,28
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,372227,304568,1,3.3,65,84
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
2,0,0,1,2.5,50,0
2,0,0,1,4.6,92,90
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,23390,23847,1,2.9,57,71
2,596749,561904,2,3.1,63,68
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,127093,128617,2,4.3,87,87
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,59051,60734,1,0,0,0
2,0,0,2,4,81,76
2,0,0,1,0,0,0
8,942660,944956,2,4.6,92,92
2,127093,128617,2,4.3,87,87
2,0,0,1,0,0,0
2,0,0,1,2.5,50,29
2,247478,141344,2,4,81,85
1,894063,903261,2,3.6,72,85
2,246043,515530,1,0,0,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
2,0,0,1,0,0,0
2,0,0,2,4,81,76
2,0,0,2,3.9,77,99
2,59051,60734,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4.7,94,94
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
3,0,0,1,2.5,50,52
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,0,0,1,3,60,0
2,596749,561904,2,3.1,63,68
8,942660,944956,2,4.6,92,92
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,1,2.8,56,56
4,0,0,1,2.4,48,28
2,0,0,1,0,0,0
2,194264,192570,2,4.3,86,89
2,0,0,1,4.3,87,0
2,0,0,2,3.9,77,99
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,2,4.5,90,89
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,18888,18517,1,3,61,68
2,596749,561904,2,3.1,63,68
2,0,0,1,4.6,92,90
2,0,0,2,4.1,82,86
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,0,0,2,4.7,94,94
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,1,2.5,49,51
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
7,823844,815195,2,4.7,93,89
2,353664,342787,1,4,80,93
2,0,0,2,4.5,89,87
2,194264,192570,2,4.3,86,89
3,0,0,1,2.5,50,52
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
2,596749,561904,2,3.1,63,68
2,0,0,1,2.5,50,0
2,372227,304568,1,3.3,65,84
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,1,2.8,56,56
2,0,0,1,4.3,87,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
2,596749,561904,2,3.1,63,68
2,0,0,1,1.6,33,31
2,0,0,1,4.3,87,0
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
3,34089,34114,1,3.9,78,82
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,0,0,1,0,0,0
2,708220,627936,2,4.7,93,92
2,0,0,1,4.6,92,90
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,569990,975522,2,4.7,94,82
3,714,782,2,4.3,86,84
2,0,0,2,4,81,76
2,17913,17979,2,3.5,69,70
2,12033,12283,1,3.4,68,79
2,12033,12283,1,3.4,68,79
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,2,4.5,91,53
2,0,0,2,4.7,94,94
2,0,0,1,0,0,0
2,12033,12283,1,3.4,68,79
2,596749,561904,2,3.1,63,68
2,0,0,1,4.3,87,0
2,0,0,1,4.3,87,0
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
2,625017,615966,1,0,0,0
2,596749,561904,2,3.1,63,68
1,1393286,1241968,2,4.5,90,90
2,0,0,1,2.8,56,56
2,247038,239922,2,4.5,89,88
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,625017,615966,1,0,0,0
2,0,0,1,3.1,63,77
2,596749,561904,2,3.1,63,68
2,17913,17979,2,3.5,69,70
3,714,782,2,4.3,86,84
2,0,0,1,0,0,0
2,0,0,2,4.7,94,94
2,0,0,1,2.5,50,29
2,0,0,2,3.9,77,99
2,0,0,0,1.2,24,28
2,0,0,2,4,81,76
2,0,0,1,2.5,50,29
2,596749,561904,2,3.1,63,68
2,0,0,2,4.5,89,87
2,23390,23847,1,2.9,57,71
2,12033,12283,1,3.4,68,79
2,0,0,1,0,0,0
2,0,0,0,1.2,24,28
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,0,0,2,4.7,94,94
2,353664,342787,1,4,80,93
2,0,0,1,3.1,63,77
2,10075,10561,1,4.3,86,100
2,0,0,1,0,0,0
2,10075,10561,1,4.3,86,100
2,0,0,1,4.3,87,0
8,942660,944956,2,4.6,92,92
2,625017,615966,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,2,4.7,94,94
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
8,942660,944956,2,4.6,92,92
2,0,0,1,2.8,56,56
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,0,0,1,2.5,50,29
2,596749,561904,2,3.1,63,68
2,0,0,1,2.8,56,56
2,0,0,1,2.5,50,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,0,0,1,2.4,48,3
2,17913,17979,2,3.5,69,70
2,0,0,1,4.3,87,0
3,537448,523515,2,4.2,83,86
2,17913,17979,2,3.5,69,70
1,894063,903261,2,3.6,72,85
2,0,0,1,0,0,0
2,10075,10561,1,4.3,86,100
2,0,0,1,3.1,63,77
2,353664,342787,1,4,80,93
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
3,714,782,2,4.3,86,84
2,0,0,1,0,0,0
8,942660,944956,2,4.6,92,92
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,0,0,1,0,0,0
2,0,0,0,1.2,24,28
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
1,894063,903261,2,3.6,72,85
2,0,0,1,2.5,50,29
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,77742,76522,1,3,60,55
2,23390,23847,1,2.9,57,71
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,17913,17979,2,3.5,69,70
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
2,0,0,1,0,0,0
1,1393286,1241968,2,4.5,90,90
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,353664,342787,1,4,80,93
2,0,0,2,4,81,76
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
8,942660,944956,2,4.6,92,92
2,0,0,2,4.1,82,90
2,0,0,2,4.1,82,86
2,0,0,1,1.6,33,31
6,0,0,1,2.3,45,41
2,194264,192570,2,4.3,86,89
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,17913,17979,2,3.5,69,70
2,353664,342787,1,4,80,93
1,1393286,1241968,2,4.5,90,90
2,596749,561904,2,3.1,63,68
2,597340,618906,1,4.7,94,61
2,0,0,1,2.4,48,3
2,0,0,1,3.3,66,61
2,0,0,1,0,0,0
2,0,0,2,4.7,94,94
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,59051,60734,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,12033,12283,1,3.4,68,79
2,0,0,1,4.3,87,0
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,0,0,1,2.5,50,29
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,0,0,2,4.5,89,87
2,101615,104812,1,3,61,62
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,2,3.9,77,99
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,2,4.3,85,86
2,0,0,0,1.2,24,28
2,17913,17979,2,3.5,69,70
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,127093,128617,2,4.3,87,87
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,4.2,84,0
2,0,0,1,3.3,66,61
2,0,0,1,0,0,0
1,894063,903261,2,3.6,72,85
2,0,0,1,2.5,50,0
2,12033,12283,1,3.4,68,79
1,894063,903261,2,3.6,72,85
2,0,0,1,2.5,50,29
2,0,0,1,0,0,0
2,0,0,1,2.8,56,56
2,0,0,2,4.1,82,90
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.5,50,11
2,0,0,1,0,0,0
2,0,0,1,0,0,0
1,894063,903261,2,3.6,72,85
2,0,0,1,2.5,50,0
2,0,0,1,2.5,50,11
2,0,0,1,0,0,0
2,59051,60734,1,0,0,0
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
2,0,0,2,4,81,76
1,198924,200473,1,2.9,58,76
2,0,0,2,4.1,82,86
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
1,0,0,1,3,60,54
2,0,0,1,0,0,0
1,894063,903261,2,3.6,72,85
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,2,4,81,76
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,0,0,1,2.5,49,51
2,569990,975522,2,4.7,94,82
2,0,0,2,4.1,82,86
2,0,0,1,0,0,0
2,0,0,1,4.6,92,90
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,127093,128617,2,4.3,87,87
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,1,4.3,87,0
2,0,0,1,0.3,7,29
2,0,0,2,4.5,89,87
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
1,1393286,1241968,2,4.5,90,90
2,127093,128617,2,4.3,87,87
2,0,0,1,4.3,87,0
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
2,0,0,1,4.3,87,0
2,0,0,1,0,0,0
2,0,0,2,3.8,75,95
2,0,0,1,3.3,66,61
2,0,0,1,2.5,50,0
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,3.6,72,80
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,0,0,1,2.5,50,0
2,0,0,1,3.3,66,61
2,353664,342787,1,4,80,93
2,0,0,1,2.5,49,51
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,108241,107041,1,2.1,42,58
2,596749,561904,2,3.1,63,68
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,372227,304568,1,3.3,65,84
2,596749,561904,2,3.1,63,68
3,34089,34114,1,3.9,78,82
2,569990,975522,2,4.7,94,82
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.8,56,56
2,0,0,1,4.3,87,0
2,0,0,1,4.3,87,0
3,34089,34114,1,3.9,78,82
2,0,0,1,4.3,87,0
2,569990,975522,2,4.7,94,82
2,108241,107041,1,2.1,42,58
2,596749,561904,2,3.1,63,68
2,353664,342787,1,4,80,93
2,0,0,1,4.3,87,0
2,0,0,1,0,0,0
2,0,0,1,3.3,66,61
2,0,0,1,3.3,66,61
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,2.4,48,3
2,0,0,2,4.5,89,87
2,0,0,1,0,0,0
2,569990,975522,2,4.7,94,82
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,625017,615966,1,0,0,0
2,4155,4342,1,3.8,76,97
2,0,0,1,2.8,56,56
2,0,0,1,4.3,87,0
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
3,34089,34114,1,3.9,78,82
2,596749,561904,2,3.1,63,68
2,0,0,1,3,60,0
2,0,0,1,3.1,63,77
2,353664,342787,1,4,80,93
2,0,0,1,2.8,56,56
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,108241,107041,1,2.1,42,58
1,0,0,1,3,60,54
2,0,0,1,2.5,50,11
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
2,0,0,1,2.5,50,0
2,353664,342787,1,4,80,93
2,0,0,1,2.8,56,56
2,0,0,1,3.1,63,77
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,0,0,1,4.3,87,0
2,127093,128617,2,4.3,87,87
2,0,0,1,3.1,63,77
2,18143,17613,1,0,0,0
2,616717,596782,2,3.5,70,74
2,194264,192570,2,4.3,86,89
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,0,0,1,3.3,66,61
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,596749,561904,2,3.1,63,68
2,0,0,1,0,0,0
2,353664,342787,1,4,80,93
2,0,0,1,4.3,87,0
2,0,0,2,4.1,82,90
2,861450,811206,1,2.5,50,38
2,0,0,1,3.1,63,77
2,17913,17979,2,3.5,69,70
2,353664,342787,1,4,80,93
2,44978,43166,2,4,81,84
2,0,0,1,2.5,50,29
2,0,0,1,2.8,56,56
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,246991,243639,1,3,69,60
2,194264,192570,2,4.3,86,89
2,596749,561904,2,3.1,63,68
2,0,0,2,3.9,77,99
2,0,0,1,4.3,87,0
2,596749,561904,2,3.1,63,68
2,353664,342787,1,4,80,93
2,12033,12283,1,3.4,68,79
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,0,0,1,4.6,92,90
2,353664,342787,1,4,80,93
2,0,0,2,4.5,89,87
2,596749,561904,2,3.1,63,68
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,0,0,2,4.7,94,94
2,0,0,1,0,0,0
2,996057,739361,1,3.2,64,98
2,44978,43166,2,4,81,84
3,0,0,1,2.5,50,52
7,823844,815195,2,4.7,93,89
2,569990,975522,2,4.7,94,82
2,569990,975522,2,4.7,94,82
2,0,0,1,4.2,84,0
2,0,0,1,2.4,48,3
2,0,0,1,0,0,0
2,0,0,1,0,0,0
2,59051,60734,1,0,0,0
2,0,0,1,2.5,50,11
2,0,0,1,0,0,0
2,596749,561904,2,3.1,63,68
2,353664,342787,1,4,80,93
2,569990,975522,2,4.7,94,82
2,596749,561904,2,3.1,63,68
2,0,0,0,1.2,24,28
2,0,0,1,0,0,0
2,0,0,2,3.9,78,79
2,596749,561904,2,3.1,63,68
2,0,0,1,2.5,50,29
