website_type,safety_r,reputation,trustworthiness,child_safety,date
2,2,4,81,76,817
2,1,0,0,0,803
2,2,3.9,77,99,820
2,1,4,80,93,792
2,0,1.2,24,28,814
2,2,3.9,77,99,820
2,1,4,80,93,806
2,2,3.1,63,68,819
2,1,4.6,92,90,813
8,2,4.6,92,92,803
1,2,4.5,90,90,820
2,0,1.2,24,28,820
2,2,3.9,77,99,820
2,2,4.5,89,87,814
4,1,0,0,0,809
2,1,0,0,0,790
2,2,3.9,77,99,820
2,1,0,0,0,812
2,2,3.9,77,99,820
2,1,2.5,50,46,818
2,2,4,81,85,818
2,2,3.9,77,99,820
2,2,4.5,89,87,801
2,1,0,0,0,809
2,2,4.5,89,87,807
2,2,4.7,94,82,815
2,1,0,0,0,793
2,1,2.5,50,11,801
2,2,4.5,89,87,804
2,1,0,0,0,817
2,1,4.6,92,90,797
2,1,0,0,0,805
2,2,3.9,77,99,820
2,1,0,0,0,813
2,2,4.3,87,87,814
2,2,4.3,87,87,814
2,1,0,0,0,808
2,1,3.1,63,77,814
2,1,4,80,93,815
1,1,3,60,54,805
2,2,4.5,89,87,818
2,2,4.5,89,87,799
2,1,2.5,50,28,807
2,1,0,0,0,810
2,1,4,80,93,812
2,1,0,0,0,816
2,2,4,81,76,817
2,1,4.6,92,90,815
2,1,2.5,50,29,804
2,2,3.1,63,68,819
2,1,4.3,87,0,814
2,2,4,81,76,819
2,2,3.9,77,99,820
2,1,3.3,65,84,793
2,1,0,0,0,808
6,1,2.3,45,41,817
3,1,3.9,78,82,809
2,2,3.1,63,68,819
2,1,0,0,0,804
2,1,0,0,0,808
2,1,2.1,42,58,794
2,1,0,0,0,792
2,1,3,60,0,803
3,1,3.9,78,82,805
2,1,0,0,0,816
2,1,2.5,50,28,812
2,2,3.1,63,68,818
2,1,1.8,35,41,815
2,1,4,80,93,814
2,1,0,0,0,808
1,2,3.6,72,85,813
2,1,0,0,0,798
2,1,0,0,0,816
2,1,0,0,0,807
2,1,3,61,68,814
2,2,4,81,76,817
2,2,4,81,85,816
2,1,4,80,93,806
2,1,4,80,93,796
2,1,0,0,0,803
2,1,2.5,50,11,807
2,1,4,80,93,794
1,2,3.6,72,85,815
2,1,3,60,62,809
2,2,4.5,89,87,814
2,2,4.7,94,82,818
2,2,4.5,89,87,818
2,1,0,0,0,811
2,1,2.5,50,29,812
2,2,3.9,77,99,820
2,1,0,0,0,820
2,2,4.5,89,87,819
2,1,3.6,72,93,817
2,1,2.5,50,46,819
2,1,0,0,0,798
2,1,0,0,0,812
2,2,4.5,89,87,806
3,2,4.3,86,84,820
2,2,3.1,63,68,818
2,2,4,81,84,808
2,2,4.7,94,82,805
2,1,4.3,87,0,815
5,2,4.3,86,88,811
2,2,3.5,69,70,800
2,2,4.5,89,87,804
8,2,4.6,92,92,814
2,1,0,0,0,812
2,2,3.5,69,70,803
2,1,0,0,0,804
2,2,3.9,77,99,820
2,2,4.5,89,87,804
2,1,0,0,0,818
2,1,4.6,92,90,790
2,2,3.1,63,68,819
2,1,0,0,0,810
2,0,1.2,24,28,796
2,1,0,0,0,806
2,1,0,0,0,793
2,1,3.3,65,84,809
2,1,0,0,0,815
2,1,0,0,0,809
