replies_count,participants_count,likes,comments,shares,date,domain_rank
0,1,2,0,2,817,12993
0,0,0,0,0,803,0
0,1,7,0,7,820,6659
0,0,0,0,0,792,43327
0,0,0,0,0,814,0
0,1,0,0,0,820,6659
0,0,0,0,0,806,43327
0,0,0,0,0,819,0
0,1,0,0,0,813,51784
0,0,0,0,0,803,38347
0,0,0,0,0,820,5772
0,0,0,0,0,820,0
1,2,9,0,9,820,6659
0,1,0,0,0,814,82758
0,0,0,0,0,809,0
0,0,0,0,0,790,0
0,1,0,0,0,820,6659
0,0,0,0,0,812,0
0,1,1,0,1,820,6659
0,1,0,0,0,818,68691
0,0,0,0,0,818,14170
0,1,2,0,2,820,6659
0,1,0,0,0,801,82758
0,1,0,0,0,809,0
0,1,0,0,0,807,82758
0,0,357,0,357,815,2182
0,0,0,0,0,793,0
0,0,0,0,0,801,0
0,1,0,0,0,804,82758
0,0,0,0,0,817,0
0,1,0,0,0,797,51784
0,1,0,0,0,805,0
0,1,0,0,0,820,6659
0,0,0,0,0,813,0
0,1,0,0,0,814,23950
0,1,0,0,0,814,23950
0,0,0,0,0,808,0
0,0,0,0,0,814,0
0,0,0,0,0,815,43327
0,0,0,0,0,805,25689
0,1,0,0,0,818,82758
0,1,0,0,0,799,82758
0,0,0,0,0,807,0
0,0,0,0,0,810,0
0,0,0,0,0,812,43327
0,0,0,0,0,816,0
0,1,0,0,0,817,12993
0,1,0,0,0,815,51784
0,0,0,0,0,804,0
0,0,0,0,0,819,0
0,0,0,0,0,814,0
0,1,0,0,0,819,12993
0,1,0,0,0,820,6659
0,0,0,0,0,793,7587
0,0,0,0,0,808,0
0,0,0,0,0,817,11584
0,0,0,0,0,809,0
0,0,0,0,0,819,0
0,0,0,0,0,804,3921
0,0,0,0,0,808,0
0,0,0,0,0,794,0
0,1,0,0,0,792,0
0,0,0,0,0,803,0
0,0,0,0,0,805,0
0,0,0,0,0,816,30230
0,0,0,0,0,812,0
0,0,0,0,0,818,0
0,0,0,0,0,815,0
0,0,0,0,0,814,43327
0,0,0,0,0,808,3921
0,0,0,0,0,813,15846
0,0,0,0,0,798,0
0,1,0,0,0,816,0
0,0,0,0,0,807,0
0,0,0,0,0,814,0
0,1,0,0,0,817,12993
0,0,0,0,0,816,14170
0,0,0,0,0,806,43327
0,0,0,0,0,796,43327
0,1,0,0,0,803,0
0,0,0,0,0,807,0
0,0,0,0,0,794,43327
0,0,0,0,0,815,15846
0,0,0,0,0,809,0
0,1,0,0,0,814,82758
0,0,0,0,0,818,2182
0,1,0,0,0,818,82758
0,0,0,0,0,811,0
0,0,0,0,0,812,0
0,1,0,0,0,820,6659
0,0,0,0,0,820,0
0,1,0,0,0,819,82758
0,0,0,0,0,817,0
0,1,0,0,0,819,68691
0,0,0,0,0,798,0
0,0,0,0,0,812,0
0,1,0,0,0,806,82758
0,1,0,0,0,820,41475
0,0,0,0,0,818,0
0,0,0,0,0,808,93150
0,0,0,0,0,805,2182
0,0,0,0,0,815,0
0,0,0,0,0,811,34811
0,0,0,0,0,800,79662
0,1,0,0,0,804,82758
0,0,0,0,0,814,38347
0,0,0,0,0,812,0
0,0,0,0,0,803,79662
0,1,0,0,0,804,0
0,1,0,0,0,820,6659
0,1,0,0,0,804,82758
0,0,0,0,0,818,0
0,1,0,0,0,790,51784
0,0,0,0,0,819,0
0,1,0,0,0,810,0
0,0,0,0,0,796,0
0,1,0,0,0,806,0
0,0,0,0,0,793,0
0,0,0,0,0,809,7587
0,0,0,0,0,815,0
0,0,0,0,0,809,0
0,0,0,0,0,816,0
0,1,0,0,0,812,0
0,0,0,0,0,800,0
0,0,0,0,0,817,0
0,1,0,0,0,798,51784
0,0,0,0,0,800,0
0,1,0,0,0,820,6659
0,1,0,0,0,820,6659
0,0,0,0,0,816,0
0,1,0,0,0,805,82758
0,0,0,0,0,818,0
0,0,0,0,0,819,0
0,1,0,0,0,819,82758
0,1,0,0,0,802,0
0,0,0,0,0,809,0
0,1,0,0,0,814,23950
0,0,0,0,0,812,0
0,0,0,0,0,818,0
0,0,0,0,0,815,0
0,1,258,0,258,818,12993
0,0,0,0,0,814,0
0,0,0,0,0,810,38347
0,1,0,0,0,814,23950
0,0,0,0,0,813,0
0,0,0,0,0,797,0
0,0,0,0,0,817,14170
0,0,0,0,0,812,15846
0,0,0,0,0,818,486
0,1,0,0,0,811,82758
0,0,0,0,0,814,0
0,0,0,0,0,808,0
0,1,0,0,0,816,0
0,1,0,0,0,817,12993
17,15,10,0,10,820,6659
0,0,0,0,0,798,0
0,0,0,0,0,809,2182
0,1,0,0,0,815,0
0,1,0,0,0,804,0
0,0,0,0,0,818,0
0,0,0,0,0,806,43327
0,0,0,0,0,807,14958
0,0,564,0,564,811,2182
0,0,0,0,0,799,43327
0,0,0,0,0,816,0
0,0,0,0,0,807,43327
0,0,0,0,0,811,88660
0,0,0,0,0,807,25842
0,1,0,0,0,794,0
0,0,0,0,0,799,18896
0,0,0,0,0,818,0
0,0,0,0,0,801,38347
0,0,0,0,0,812,0
0,0,0,0,0,792,0
0,0,0,0,0,819,0
0,1,0,0,0,812,0
0,1,0,0,0,820,12993
0,0,0,0,0,817,0
0,0,0,0,0,792,44451
0,0,0,0,0,804,65078
0,0,0,0,0,811,0
0,0,0,0,0,802,70635
0,0,0,0,0,817,0
0,1,0,0,0,820,6659
0,1,0,0,0,818,12993
0,1,0,0,0,800,0
0,0,21,0,21,820,2435
0,0,0,0,0,798,3921
0,0,0,0,0,818,0
0,0,0,0,0,811,0
0,0,0,0,0,819,0
0,1,0,0,0,793,51784
0,1,0,0,0,819,48413
0,0,0,0,0,808,0
0,0,0,0,0,805,0
0,0,0,0,0,810,0
0,0,0,0,0,798,0
0,0,0,0,0,811,43327
0,0,0,0,0,797,0
0,0,0,0,0,819,0
0,0,0,0,0,817,0
0,0,0,0,0,820,16425
0,0,0,0,0,793,43327
0,1,0,0,0,811,82758
0,0,0,0,0,804,70635
0,0,0,0,0,792,88660
0,1,0,0,0,809,82758
0,0,0,0,0,819,0
0,0,0,0,0,814,0
0,0,0,0,0,819,0
0,0,0,0,0,805,25842
0,0,0,0,0,814,7587
0,0,0,0,0,818,0
0,1,0,0,0,797,0
0,0,0,0,0,792,44451
0,0,0,0,0,805,0
0,0,0,0,0,791,0
0,0,0,0,0,818,0
0,0,0,0,0,813,0
0,0,0,0,0,819,0
0,0,0,0,0,819,0
0,0,0,0,0,819,0
0,1,0,0,0,805,82758
0,0,0,0,0,818,0
0,0,0,0,0,819,0
0,0,0,0,0,818,0
0,0,0,0,0,819,0
0,0,0,0,0,819,0
0,0,0,0,0,804,0
0,0,0,0,0,817,0
0,0,0,0,0,818,3921
0,0,0,0,0,790,14716
0,1,0,0,0,815,51784
0,0,0,0,0,810,0
0,0,0,0,0,806,2182
0,0,0,0,0,812,0
0,0,0,0,0,792,79662
0,0,0,0,0,811,2182
0,1,0,0,0,820,41475
0,1,0,0,0,819,12993
0,0,0,0,0,817,79662
0,0,0,0,0,792,0
0,0,0,0,0,796,0
0,1,0,0,0,817,0
0,0,0,0,0,814,0
0,0,0,0,0,806,33221
0,0,0,0,0,817,0
0,0,0,0,0,812,0
0,0,0,0,0,791,0
0,0,0,0,0,819,0
0,0,0,0,0,798,0
0,0,0,0,0,815,0
0,1,0,0,0,811,82758
0,0,0,0,0,819,0
0,0,0,0,0,791,0
0,0,0,0,0,818,0
0,0,0,0,0,811,5772
0,0,0,0,0,818,44451
0,0,0,0,0,816,23405
0,0,0,0,0,812,0
0,0,0,0,0,803,0
0,0,0,0,0,819,0
0,0,0,0,0,802,0
0,0,0,0,0,808,0
0,0,0,0,0,819,0
0,0,0,0,0,793,79662
0,1,0,0,0,820,41475
0,0,0,0,0,800,0
0,0,0,0,0,809,0
