replies_count,participants_count,likes,comments,shares,website_type,friends,followes,safety_r,reputation,trustworthiness,child_safety,domain_rank
0,1,2,0,2,2,0,0,2,4,81,76,12993
0,0,0,0,0,2,0,0,1,0,0,0,0
0,1,7,0,7,2,0,0,2,3.9,77,99,6659
0,0,0,0,0,2,353664,342787,1,4,80,93,43327
0,0,0,0,0,2,0,0,0,1.2,24,28,0
0,1,0,0,0,2,0,0,2,3.9,77,99,6659
0,0,0,0,0,2,353664,342787,1,4,80,93,43327
0,0,0,0,0,2,596749,561904,2,3.1,63,68,0
0,1,0,0,0,2,0,0,1,4.6,92,90,51784
0,0,0,0,0,8,942660,944956,2,4.6,92,92,38347
0,0,0,0,0,1,393286,241968,2,4.5,90,90,5772
0,0,0,0,0,2,0,0,0,1.2,24,28,0
1,2,9,0,9,2,0,0,2,3.9,77,99,6659
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,0,0,0,0,4,0,0,1,0,0,0,0
0,0,0,0,0,2,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,2,3.9,77,99,6659
0,0,0,0,0,2,0,0,1,0,0,0,0
0,1,1,0,1,2,0,0,2,3.9,77,99,6659
0,1,0,0,0,2,416437,418488,1,2.5,50,46,68691
0,0,0,0,0,2,247478,141344,2,4,81,85,14170
0,1,2,0,2,2,0,0,2,3.9,77,99,6659
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,1,0,0,0,2,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,0,357,0,357,2,569990,975522,2,4.7,94,82,2182
0,0,0,0,0,2,625017,615966,1,0,0,0,0
0,0,0,0,0,2,0,0,1,2.5,50,11,0
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,0,0,0,0,2,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,1,4.6,92,90,51784
0,1,0,0,0,2,0,0,1,0,0,0,0
0,1,0,0,0,2,0,0,2,3.9,77,99,6659
0,0,0,0,0,2,0,0,1,0,0,0,0
0,1,0,0,0,2,127093,128617,2,4.3,87,87,23950
0,1,0,0,0,2,127093,128617,2,4.3,87,87,23950
0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,2,0,0,1,3.1,63,77,0
0,0,0,0,0,2,353664,342787,1,4,80,93,43327
0,0,0,0,0,1,0,0,1,3,60,54,25689
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,1,0,0,0,2,0,0,2,4.5,89,87,82758
0,0,0,0,0,2,0,0,1,2.5,50,28,0
0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,2,353664,342787,1,4,80,93,43327
0,0,0,0,0,2,625017,615966,1,0,0,0,0
0,1,0,0,0,2,0,0,2,4,81,76,12993
0,1,0,0,0,2,0,0,1,4.6,92,90,51784
0,0,0,0,0,2,0,0,1,2.5,50,29,0
0,0,0,0,0,2,596749,561904,2,3.1,63,68,0
0,0,0,0,0,2,0,0,1,4.3,87,0,0
0,1,0,0,0,2,0,0,2,4,81,76,12993
0,1,0,0,0,2,0,0,2,3.9,77,99,6659
0,0,0,0,0,2,372227,304568,1,3.3,65,84,7587
0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,6,0,0,1,2.3,45,41,11584
0,0,0,0,0,3,34089,34114,1,3.9,78,82,0
0,0,0,0,0,2,596749,561904,2,3.1,63,68,0
0,0,0,0,0,2,0,0,1,0,0,0,3921
0,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,2,108241,107041,1,2.1,42,58,0
0,1,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,2,21812,22454,1,3,60,0,0
0,0,0,0,0,3,34089,34114,1,3.9,78,82,0
