replies_count,participants_count,likes,comments,shares,website_type,safety_r,reputation,trustworthiness,child_safety,domain_rank,sentiment
0,1,2,0,2,2,2,4,81,76,12993,0.484022556
0,0,0,0,0,2,1,0,0,0,0,0.26
0,1,7,0,7,2,2,3.9,77,99,6659,0.39075388
0,0,0,0,0,2,1,4,80,93,43327,0.420259259
0,0,0,0,0,2,0,1.2,24,28,0,0.475121753
0,1,0,0,0,2,2,3.9,77,99,6659,0.370855615
0,0,0,0,0,2,1,4,80,93,43327,0.449305556
0,0,0,0,0,2,2,3.1,63,68,0,0.456232752
0,1,0,0,0,2,1,4.6,92,90,51784,0.479301748
0,0,0,0,0,8,2,4.6,92,92,38347,0.236160714
0,0,0,0,0,1,2,4.5,90,90,5772,0.245227273
0,0,0,0,0,2,0,1.2,24,28,0,0.225
1,2,9,0,9,2,2,3.9,77,99,6659,0.473111785
0,1,0,0,0,2,2,4.5,89,87,82758,0.385960473
0,0,0,0,0,4,1,0,0,0,0,0.387731481
0,0,0,0,0,2,1,0,0,0,0,0.109375
0,1,0,0,0,2,2,3.9,77,99,6659,0.50345689
0,0,0,0,0,2,1,0,0,0,0,0.524594156
0,1,1,0,1,2,2,3.9,77,99,6659,0.478611111
0,1,0,0,0,2,1,2.5,50,46,68691,0.291579517
0,0,0,0,0,2,2,4,81,85,14170,0.596212121
0,1,2,0,2,2,2,3.9,77,99,6659,0.454012508
0,1,0,0,0,2,2,4.5,89,87,82758,0.394770653
0,1,0,0,0,2,1,0,0,0,0,0.354877594
0,1,0,0,0,2,2,4.5,89,87,82758,0.523149866
0,0,357,0,357,2,2,4.7,94,82,2182,0.579292929
0,0,0,0,0,2,1,0,0,0,0,0.591486985
0,0,0,0,0,2,1,2.5,50,11,0,0.443915344
0,1,0,0,0,2,2,4.5,89,87,82758,0.424774807
0,0,0,0,0,2,1,0,0,0,0,0.406397306
0,1,0,0,0,2,1,4.6,92,90,51784,0.427367988
0,1,0,0,0,2,1,0,0,0,0,0.438714142
0,1,0,0,0,2,2,3.9,77,99,6659,0.412626263
0,0,0,0,0,2,1,0,0,0,0,0.541666667
0,1,0,0,0,2,2,4.3,87,87,23950,0.414187386
0,1,0,0,0,2,2,4.3,87,87,23950,0.389858467
0,0,0,0,0,2,1,0,0,0,0,0.451490176
0,0,0,0,0,2,1,3.1,63,77,0,0.278944444
0,0,0,0,0,2,1,4,80,93,43327,0.45515873
0,0,0,0,0,1,1,3,60,54,25689,0.594362582
0,1,0,0,0,2,2,4.5,89,87,82758,0.404092803
0,1,0,0,0,2,2,4.5,89,87,82758,0.450542488
0,0,0,0,0,2,1,2.5,50,28,0,0.377857143
0,0,0,0,0,2,1,0,0,0,0,0.474358974
0,0,0,0,0,2,1,4,80,93,43327,0.438134921
0,0,0,0,0,2,1,0,0,0,0,0.465402367
0,1,0,0,0,2,2,4,81,76,12993,0.461666667
0,1,0,0,0,2,1,4.6,92,90,51784,0.394545455
0,0,0,0,0,2,1,2.5,50,29,0,0.381267715
0,0,0,0,0,2,2,3.1,63,68,0,0.441369048
0,0,0,0,0,2,1,4.3,87,0,0,0.475883257
0,1,0,0,0,2,2,4,81,76,12993,0.32769697
0,1,0,0,0,2,2,3.9,77,99,6659,0.45316092
0,0,0,0,0,2,1,3.3,65,84,7587,0.414986772
0,0,0,0,0,2,1,0,0,0,0,0.477170868
0,0,0,0,0,6,1,2.3,45,41,11584,0.550045788
0,0,0,0,0,3,1,3.9,78,82,0,0.461476024
0,0,0,0,0,2,2,3.1,63,68,0,0.384587333
0,0,0,0,0,2,1,0,0,0,3921,0.54040855
0,0,0,0,0,2,1,0,0,0,0,0.515386905
0,0,0,0,0,2,1,2.1,42,58,0,0.376822002
0,1,0,0,0,2,1,0,0,0,0,0.399382148
