replies_count,participants_count,likes,comments,shares,domain_rank,readability
0,1,2,0,2,12993,2
0,0,0,0,0,0,0
0,1,7,0,7,6659,0
0,0,0,0,0,43327,0
0,0,0,0,0,0,4
0,1,0,0,0,6659,0
0,0,0,0,0,43327,0
0,0,0,0,0,0,1
0,1,0,0,0,51784,5
0,0,0,0,0,38347,0
0,0,0,0,0,5772,0
0,0,0,0,0,0,0
1,2,9,0,9,6659,4
0,1,0,0,0,82758,4
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,1,0,0,0,6659,0
0,0,0,0,0,0,2
0,1,1,0,1,6659,2
0,1,0,0,0,68691,1
0,0,0,0,0,14170,1
0,1,2,0,2,6659,4
0,1,0,0,0,82758,2
0,1,0,0,0,0,0
0,1,0,0,0,82758,5
0,0,357,0,357,2182,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,82758,4
0,0,0,0,0,0,1
0,1,0,0,0,51784,2
0,1,0,0,0,0,0
0,1,0,0,0,6659,0
0,0,0,0,0,0,5
0,1,0,0,0,23950,2
0,1,0,0,0,23950,4
0,0,0,0,0,0,2
0,0,0,0,0,0,3
0,0,0,0,0,43327,0
0,0,0,0,0,25689,3
0,1,0,0,0,82758,2
0,1,0,0,0,82758,0
0,0,0,0,0,0,0
0,0,0,0,0,0,3
0,0,0,0,0,43327,0
0,0,0,0,0,0,2
0,1,0,0,0,12993,2
0,1,0,0,0,51784,0
0,0,0,0,0,0,4
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,1,0,0,0,12993,2
0,1,0,0,0,6659,2
0,0,0,0,0,7587,1
0,0,0,0,0,0,1
0,0,0,0,0,11584,4
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,3921,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,30230,3
0,0,0,0,0,0,3
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,43327,0
0,0,0,0,0,3921,3
0,0,0,0,0,15846,2
0,0,0,0,0,0,0
0,1,0,0,0,0,3
