,0
0,0
1,3
2,0
3,2
4,1
5,4
6,0
7,3
8,0
9,2
10,3
11,4
12,1
13,0
14,1
15,3
16,3
17,3
18,2
19,0
20,0
21,2
22,1
23,0
24,2
25,4
26,0
27,4
28,0
29,0
30,1
31,1
32,4
33,2
34,2
35,5
36,0
37,3
38,3
39,0
40,3
41,0
42,2
43,0
44,3
45,4
46,1
47,3
48,0
49,4
50,0
51,1
52,3
53,3
54,0
55,2
56,3
57,4
58,4
59,0
60,0
61,2
62,2
63,0
64,2
65,0
66,2
67,1
68,0
69,0
70,0
71,1
72,3
73,1
74,0
75,4
76,0
77,0
78,1
79,3
80,0
81,0
82,3
83,0
84,0
85,2
86,1
87,3
88,4
89,1
90,4
91,0
92,1
93,1
94,4
95,1
96,1
97,1
98,4
99,0
100,3
101,0
102,0
103,0
104,0
105,2
106,3
107,1
108,3
109,2
110,2
111,1
112,0
113,3
114,4
115,0
116,4
117,0
118,0
119,2
120,4
121,3
122,1
123,2
124,0
125,2
126,2
127,0
128,0
129,0
130,2
131,1
132,1
133,3
134,4
135,2
136,0
137,0
138,0
139,0
140,1
141,0
142,4
143,0
144,0
145,3
146,2
147,3
148,1
149,1
150,0
151,1
152,0
153,4
154,0
155,2
156,1
157,3
158,0
159,0
160,1
161,3
162,1
163,2
164,0
165,3
166,3
167,2
168,2
169,0
170,2
171,0
172,4
173,0
174,0
175,2
176,4
177,3
178,0
179,4
180,0
181,2
182,0
183,0
184,3
185,2
186,4
187,0
188,1
189,0
190,0
191,2
192,4
193,3
194,1
195,2
196,1
197,1
198,2
199,0
200,2
201,0
202,0
203,0
204,0
205,1
206,1
207,2
208,0
209,0
210,4
211,1
212,2
213,1
214,3
215,5
216,1
217,0
218,0
219,2
220,0
221,2
222,0
223,0
224,2
225,3
226,1
227,0
228,3
229,3
230,0
231,1
232,2
233,0
234,0
235,6
236,4
237,2
238,1
239,0
240,1
241,0
242,0
243,4
244,0
245,3
246,3
247,1
248,2
249,2
250,4
251,0
252,3
253,1
254,0
255,0
256,3
257,0
258,0
259,5
260,2
261,4
262,0
263,5
264,0
265,2
266,3
267,4
268,0
269,2
270,0
271,3
272,1
273,3
274,0
275,0
276,0
277,0
278,4
279,5
280,0
281,1
282,1
283,0
284,0
285,3
286,3
287,0
288,2
289,1
290,3
291,0
292,0
293,0
294,0
295,0
296,0
297,2
298,2
299,3
300,2
301,0
302,0
303,0
304,2
305,0
306,2
307,4
308,0
309,2
310,0
311,1
312,3
313,1
314,3
315,3
316,1
317,2
318,1
319,4
320,0
321,0
322,4
323,2
324,0
325,0
326,1
327,4
328,2
