,0
0,2
1,0
2,0
3,0
4,4
5,0
6,0
7,1
8,5
9,0
10,0
11,0
12,4
13,4
14,3
15,0
16,0
17,2
18,2
19,1
20,1
21,4
22,2
23,0
24,5
25,0
26,0
27,0
28,4
29,1
30,2
31,0
32,0
33,5
34,2
35,4
36,2
37,3
38,0
39,3
40,2
41,0
42,0
43,3
44,0
45,2
46,2
47,0
48,4
49,0
50,2
51,2
52,2
53,1
54,1
55,4
56,0
57,0
58,1
59,0
60,0
61,3
62,0
63,0
64,3
65,3
66,0
67,0
68,0
69,3
70,2
71,0
72,3
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,3
81,1
82,3
83,1
84,3
85,0
86,0
87,1
88,1
89,1
90,3
91,4
92,0
93,2
94,0
95,4
96,3
97,0
98,0
99,0
100,0
101,3
102,3
103,2
104,2
105,0
106,5
107,3
108,3
109,5
110,4
111,0
112,2
113,0
114,2
115,0
116,2
117,2
118,3
119,3
120,2
121,0
122,5
123,5
124,3
125,4
126,0
127,0
128,5
129,4
130,2
131,3
132,1
133,1
134,2
135,4
136,3
137,4
138,0
139,0
140,3
141,4
142,0
143,4
144,3
145,4
146,0
147,0
148,0
149,3
150,0
151,5
152,2
153,0
154,0
155,0
156,0
157,0
158,2
159,3
160,2
161,0
162,0
163,0
164,2
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,3
173,0
174,1
175,0
176,0
177,0
178,1
179,2
180,0
181,3
182,3
183,2
184,0
185,3
186,1
187,0
188,0
189,1
190,3
191,4
192,2
193,1
194,2
195,2
196,1
197,0
198,0
199,0
200,2
201,3
202,0
203,1
204,0
205,1
206,3
207,2
208,0
209,1
210,0
211,2
212,3
213,1
214,0
215,5
216,2
217,1
218,3
219,0
220,3
221,4
222,4
223,2
224,0
225,0
226,0
227,0
228,0
229,3
230,2
231,0
232,4
233,1
234,0
235,4
236,3
237,0
238,0
239,2
240,0
241,0
242,0
243,1
244,3
245,3
246,2
247,1
248,4
249,1
250,2
251,4
252,2
253,0
254,3
255,0
256,3
257,1
258,1
259,0
260,0
261,0
262,3
263,0
264,0
265,4
266,0
267,0
268,1
269,1
270,4
271,0
272,2
273,2
274,0
275,4
276,0
277,0
278,5
279,3
280,3
281,0
282,0
283,1
284,3
285,0
286,2
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,3
295,0
296,0
297,0
298,0
299,2
300,0
301,1
302,1
303,0
304,0
305,3
306,3
307,3
308,2
309,4
310,0
311,2
312,1
313,0
314,0
315,1
316,2
317,3
318,0
319,0
320,3
321,0
322,1
323,1
324,1
325,0
326,2
327,1
328,2
329,4
330,0
331,2
332,3
333,3
334,5
335,2
336,3
337,1
338,3
339,3
340,1
341,2
342,0
343,0
344,2
345,2
346,3
347,3
348,1
349,2
350,0
351,0
352,2
353,0
354,0
355,3
356,0
357,4
358,1
359,0
360,0
361,0
362,0
363,3
364,0
365,3
366,1
367,0
368,3
369,0
370,0
371,2
372,0
373,0
374,5
375,3
376,2
377,0
378,2
379,0
380,4
381,2
382,0
383,4
384,3
385,0
386,4
387,1
388,0
389,0
390,3
391,2
392,0
393,2
394,1
395,2
396,0
397,0
398,3
399,0
400,0
401,4
402,0
403,2
404,1
405,1
406,4
407,3
408,1
409,1
410,2
411,0
412,2
413,3
414,0
415,3
416,0
417,0
418,0
419,2
420,0
421,0
422,1
423,3
424,0
425,2
426,1
427,0
428,0
429,3
430,0
431,0
432,0
433,3
434,5
435,3
436,0
437,1
438,0
439,4
440,0
441,1
442,0
443,1
444,0
445,0
446,3
447,1
448,0
449,1
450,0
451,0
452,2
453,0
454,3
455,0
456,3
457,0
458,2
459,2
460,0
461,2
462,0
463,0
464,0
465,0
466,0
467,2
468,1
469,3
470,0
471,0
472,0
473,2
474,3
475,3
476,2
477,1
478,1
479,0
480,0
481,2
482,0
483,4
484,0
485,0
486,0
487,0
488,3
489,0
490,0
491,0
492,2
493,0
494,0
495,5
496,3
497,0
498,1
499,1
500,5
501,1
502,0
503,0
504,0
505,2
506,0
507,2
508,0
509,0
510,0
511,5
512,1
513,4
514,2
515,0
516,3
517,0
518,2
519,2
520,2
521,5
522,2
523,3
524,0
525,5
526,0
527,2
528,2
529,3
530,0
531,2
532,0
533,0
534,3
535,2
536,0
537,3
538,0
539,0
540,0
541,2
542,0
543,4
544,0
545,2
546,2
547,0
548,2
549,0
550,2
551,0
552,0
553,4
554,0
555,0
556,4
557,0
558,3
559,3
560,0
561,2
562,0
563,0
564,4
565,0
566,0
567,0
568,1
569,0
570,0
571,2
572,0
573,4
574,0
575,0
576,3
577,0
578,3
579,4
580,0
581,0
582,0
583,4
584,2
585,0
586,3
587,1
588,0
589,4
590,1
591,0
592,1
593,3
594,0
595,0
596,0
597,0
598,2
599,1
600,4
601,0
602,0
603,0
604,1
605,0
606,3
607,0
608,3
609,5
610,0
611,0
612,1
613,2
614,0
615,3
616,1
617,2
618,0
619,3
620,0
621,0
622,0
623,0
624,2
625,0
626,0
627,1
628,3
629,2
630,1
631,0
632,0
633,0
634,4
635,2
636,0
637,0
638,0
639,0
640,1
641,3
642,1
643,1
644,1
645,0
646,0
647,0
648,0
649,0
650,3
651,4
652,0
653,0
654,5
655,0
656,1
657,3
658,4
659,5
660,2
661,4
662,2
663,0
664,4
665,0
666,2
667,0
668,0
669,2
670,4
671,0
672,0
673,6
674,1
675,3
676,1
677,1
678,3
679,0
680,0
681,3
682,2
683,0
684,0
685,1
686,0
687,0
688,2
689,0
690,2
691,0
692,2
693,0
694,1
695,0
696,1
697,2
698,4
699,4
700,0
701,2
702,2
703,3
704,0
705,0
706,0
707,2
708,3
709,2
710,4
711,0
712,4
713,0
714,0
715,3
716,1
717,0
718,0
719,0
720,2
721,2
722,3
723,0
724,3
725,0
726,4
727,0
728,0
729,0
730,0
731,2
732,0
733,1
734,2
735,2
736,1
737,0
738,0
739,2
740,5
741,0
742,0
743,0
744,2
745,0
746,2
747,0
748,2
749,0
750,3
751,0
752,4
753,2
754,1
755,0
756,0
757,2
758,1
759,0
760,0
761,2
762,1
763,3
764,0
765,0
766,4
767,3
768,5
769,2
770,2
771,4
772,3
773,0
774,3
775,0
776,1
777,0
778,0
779,4
780,0
781,0
782,0
783,0
784,4
785,3
786,0
787,1
788,5
789,0
790,2
791,1
792,4
793,0
794,2
795,0
796,0
797,0
798,0
799,2
800,0
801,2
802,2
803,1
804,2
805,0
806,0
807,2
808,1
809,3
810,2
811,2
812,2
813,3
814,0
815,2
816,3
817,0
818,3
819,3
820,3
821,0
822,3
823,4
824,1
825,2
826,3
827,4
828,0
829,0
830,0
831,0
832,0
833,0
834,2
835,0
836,4
837,1
838,0
839,0
840,5
841,2
842,3
843,0
844,1
845,5
846,0
847,0
848,0
849,0
850,4
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,2
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,2
869,1
870,0
871,0
872,0
873,0
874,0
875,3
876,0
877,3
878,0
879,0
880,0
881,3
882,0
883,3
884,0
885,3
886,0
887,0
888,1
889,3
890,0
891,5
892,0
893,3
894,0
895,0
896,0
897,0
898,1
899,1
900,0
901,4
902,0
903,0
904,4
905,4
906,0
907,5
908,5
909,2
910,2
911,2
912,3
913,0
914,0
915,0
916,0
917,5
918,0
919,2
920,1
921,0
922,5
923,2
924,0
925,3
926,1
927,2
928,2
929,0
930,0
931,4
932,1
933,1
934,0
935,1
936,0
937,0
938,2
939,2
940,3
941,4
942,2
943,0
944,3
945,3
946,2
947,2
948,0
949,5
950,2
951,1
952,0
953,4
954,3
955,0
956,0
957,2
958,0
959,2
960,0
961,0
962,2
963,1
964,3
965,2
966,3
967,0
968,2
969,2
970,1
971,1
972,0
973,3
974,0
975,0
976,0
977,1
978,0
979,1
980,0
981,4
982,2
983,2
984,0
985,0
986,2
987,2
988,1
989,0
990,0
991,1
992,3
993,0
994,3
995,0
996,0
997,1
998,0
999,2
1000,0
1001,2
1002,3
1003,2
1004,5
1005,0
1006,0
1007,2
1008,0
1009,1
1010,0
1011,3
1012,0
1013,2
1014,1
1015,1
1016,0
1017,2
1018,0
1019,0
1020,0
1021,2
1022,4
1023,0
1024,0
1025,2
1026,0
1027,0
1028,3
1029,2
1030,0
1031,4
1032,0
1033,0
1034,3
1035,1
1036,2
1037,1
1038,3
1039,2
1040,3
1041,1
1042,0
1043,0
1044,3
1045,0
1046,3
1047,2
1048,0
1049,1
1050,3
1051,0
1052,0
1053,3
1054,5
1055,2
1056,0
1057,2
1058,4
1059,1
1060,3
1061,0
1062,1
1063,4
1064,0
1065,0
1066,3
1067,2
1068,3
1069,4
1070,0
1071,6
1072,4
1073,2
1074,5
1075,3
1076,3
1077,3
1078,0
1079,2
1080,4
1081,3
1082,2
1083,2
1084,5
1085,3
1086,0
1087,0
1088,3
1089,1
1090,0
1091,0
1092,0
1093,5
1094,1
1095,0
1096,0
1097,2
1098,1
1099,0
1100,2
1101,0
1102,3
1103,0
1104,0
1105,2
1106,4
1107,0
1108,0
1109,0
1110,3
1111,0
1112,0
1113,2
1114,4
1115,4
1116,2
1117,1
1118,1
1119,0
1120,0
1121,3
1122,2
1123,0
1124,1
1125,2
1126,2
1127,1
1128,0
1129,3
1130,3
1131,1
1132,3
1133,2
1134,0
1135,5
1136,0
1137,1
1138,0
1139,2
1140,0
1141,2
1142,0
1143,3
1144,1
1145,1
1146,2
1147,0
1148,2
1149,1
1150,3
1151,3
1152,5
1153,0
1154,2
1155,1
1156,1
1157,2
1158,0
